# replica x Q2 F2
0 1.258925e-03 2.511886e+00 1.978309e+00
0 1.258925e-03 3.162278e+00 2.236476e+00
0 1.258925e-03 3.981072e+00 2.500324e+00
0 1.258925e-03 5.011872e+00 2.755719e+00
0 1.258925e-03 6.309573e+00 3.006244e+00
0 1.258925e-03 7.943282e+00 3.254135e+00
0 1.258925e-03 1.000000e+01 3.500653e+00
0 1.258925e-03 1.258925e+01 3.746478e+00
0 1.258925e-03 1.584893e+01 3.991898e+00
0 1.258925e-03 1.995262e+01 4.235169e+00
0 1.258925e-03 2.511886e+01 4.477272e+00
0 1.258925e-03 3.162278e+01 4.725817e+00
0 1.258925e-03 3.981072e+01 4.969550e+00
0 1.258925e-03 5.011872e+01 5.211382e+00
0 1.258925e-03 6.309573e+01 5.451123e+00
0 1.258925e-03 7.943282e+01 5.688726e+00
0 1.258925e-03 1.000000e+02 5.924150e+00
0 1.258925e-03 1.258925e+02 6.157361e+00
0 1.258925e-03 1.584893e+02 6.388334e+00
0 1.258925e-03 1.995262e+02 6.617017e+00
0 1.584893e-03 2.511886e+00 1.913557e+00
0 1.584893e-03 3.162278e+00 2.156399e+00
0 1.584893e-03 3.981072e+00 2.405105e+00
0 1.584893e-03 5.011872e+00 2.644844e+00
0 1.584893e-03 6.309573e+00 2.878579e+00
0 1.584893e-03 7.943282e+00 3.108775e+00
0 1.584893e-03 1.000000e+01 3.336971e+00
0 1.584893e-03 1.258925e+01 3.563756e+00
0 1.584893e-03 1.584893e+01 3.789382e+00
0 1.584893e-03 1.995262e+01 4.012297e+00
0 1.584893e-03 2.511886e+01 4.236872e+00
0 1.584893e-03 3.162278e+01 4.462763e+00
0 1.584893e-03 3.981072e+01 4.683715e+00
0 1.584893e-03 5.011872e+01 4.902361e+00
0 1.584893e-03 6.309573e+01 5.118565e+00
0 1.584893e-03 7.943282e+01 5.332313e+00
0 1.584893e-03 1.000000e+02 5.543601e+00
0 1.584893e-03 1.258925e+02 5.752427e+00
