# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
0 1.260000e-02 1.000000e-01 8.310883e-01 8.467108e-02 4.517120e-01 6.501524e-01 -7.903194e-01 -8.715987e-02
0 1.260000e-02 7.704698e-01 1.000608e+00 1.366156e-01 4.319583e-01 7.459913e-01 -6.999316e-01 -4.472041e-02
0 1.260000e-02 1.440940e+00 1.145252e+00 1.765559e-01 4.098410e-01 8.570437e-01 -6.074316e-01 -8.367419e-03
0 1.260000e-02 2.111409e+00 1.270043e+00 2.100483e-01 3.965278e-01 9.526715e-01 -5.352337e-01 2.398992e-02
0 1.260000e-02 2.781879e+00 1.379261e+00 2.345194e-01 4.000701e-01 1.038006e+00 -4.959182e-01 3.435087e-02
0 1.260000e-02 3.452349e+00 1.478097e+00 2.553859e-01 4.001613e-01 1.111313e+00 -4.693111e-01 4.355049e-02
0 1.260000e-02 4.122819e+00 1.563176e+00 2.701990e-01 3.965637e-01 1.171667e+00 -4.563777e-01 5.634224e-02
0 1.260000e-02 4.793289e+00 1.636272e+00 2.775757e-01 3.882155e-01 1.221987e+00 -4.559636e-01 7.394063e-02
0 1.260000e-02 5.463758e+00 1.700274e+00 2.765960e-01 3.747873e-01 1.266116e+00 -4.664044e-01 9.684050e-02
0 1.260000e-02 6.134228e+00 1.759712e+00 2.668473e-01 3.566042e-01 1.309113e+00 -4.856234e-01 1.249148e-01
0 1.260000e-02 6.804698e+00 1.797053e+00 2.564009e-01 3.433022e-01 1.338018e+00 -5.008772e-01 1.446691e-01
0 1.260000e-02 7.475168e+00 1.839057e+00 2.417349e-01 3.337335e-01 1.372960e+00 -5.206668e-01 1.642452e-01
0 1.260000e-02 8.145638e+00 1.889560e+00 2.225705e-01 3.275075e-01 1.417197e+00 -5.448483e-01 1.843188e-01
0 1.260000e-02 8.816107e+00 1.948502e+00 2.020446e-01 3.192962e-01 1.471931e+00 -5.658801e-01 2.001907e-01
0 1.260000e-02 9.486577e+00 2.019728e+00 1.789626e-01 3.090874e-01 1.538882e+00 -5.853237e-01 2.171678e-01
0 1.260000e-02 1.015705e+01 2.108459e+00 1.533110e-01 2.962216e-01 1.621866e+00 -6.020989e-01 2.364106e-01
0 1.260000e-02 1.082752e+01 2.221615e+00 1.253159e-01 2.797050e-01 1.725786e+00 -6.144182e-01 2.586701e-01
0 1.260000e-02 1.149799e+01 2.368200e+00 9.530151e-02 2.583224e-01 1.856443e+00 -6.201208e-01 2.849984e-01
0 1.260000e-02 1.216846e+01 2.559550e+00 6.371534e-02 2.308209e-01 2.020333e+00 -6.167735e-01 3.167709e-01
0 1.260000e-02 1.283893e+01 2.713476e+00 4.269755e-02 2.093047e-01 2.147245e+00 -6.086396e-01 3.410003e-01
0 1.260000e-02 1.350940e+01 2.893045e+00 2.169323e-02 1.851050e-01 2.290490e+00 -5.953752e-01 3.682917e-01
0 1.260000e-02 1.417987e+01 3.103783e+00 5.546808e-04 1.581312e-01 2.452941e+00 -5.765828e-01 3.993974e-01
0 1.260000e-02 1.485034e+01 3.337486e+00 -2.607596e-02 1.299635e-01 2.624930e+00 -5.479997e-01 4.385564e-01
0 1.260000e-02 1.552081e+01 3.527910e+00 -4.769051e-02 8.636814e-02 2.773137e+00 -5.114763e-01 4.692857e-01
0 1.260000e-02 1.619128e+01 3.725677e+00 -6.762803e-02 3.840664e-02 2.925018e+00 -4.713762e-01 4.983181e-01
0 1.260000e-02 1.686174e+01 3.921575e+00 -9.502077e-02 7.559389e-03 3.078245e+00 -4.495792e-01 5.128070e-01
0 1.260000e-02 1.753221e+01 4.121693e+00 -1.228559e-01 -2.261123e-02 3.231214e+00 -4.278932e-01 5.251175e-01
0 1.260000e-02 1.820268e+01 4.322084e+00 -1.511521e-01 -5.098256e-02 3.380990e+00 -4.075095e-01 5.350404e-01
0 1.260000e-02 1.887315e+01 4.468237e+00 -1.730590e-01 -6.685960e-02 3.488748e+00 -3.963798e-01 5.400138e-01
0 1.260000e-02 1.954362e+01 4.608715e+00 -1.978387e-01 -7.753682e-02 3.594604e+00 -3.888096e-01 5.464233e-01
0 1.260000e-02 2.021409e+01 4.732082e+00 -2.299061e-01 -7.894105e-02 3.698364e+00 -3.866645e-01 5.614496e-01
0 1.260000e-02 2.088456e+01 4.850465e+00 -2.626400e-01 -7.813084e-02 3.797706e+00 -3.863806e-01 5.758334e-01
0 1.260000e-02 2.155503e+01 4.963449e+00 -2.959080e-01 -7.517782e-02 3.892277e+00 -3.879344e-01 5.894818e-01
0 1.260000e-02 2.222550e+01 5.067533e+00 -3.300682e-01 -7.298157e-02 3.983151e+00 -3.941775e-01 6.001875e-01
0 1.260000e-02 2.289597e+01 5.157604e+00 -3.657438e-01 -7.597613e-02 4.072220e+00 -4.095033e-01 6.046140e-01
0 1.260000e-02 2.356644e+01 5.243344e+00 -4.013084e-01 -7.607448e-02 4.155557e+00 -4.249599e-01 6.090342e-01
0 1.260000e-02 2.423691e+01 5.323263e+00 -4.360011e-01 -7.366645e-02 4.231889e+00 -4.401904e-01 6.132345e-01
0 1.260000e-02 2.490738e+01 5.367649e+00 -4.559607e-01 -7.125565e-02 4.273689e+00 -4.490093e-01 6.155595e-01
0 1.260000e-02 2.557785e+01 5.410639e+00 -4.757890e-01 -6.817195e-02 4.313744e+00 -4.578005e-01 6.177788e-01
0 1.260000e-02 2.624832e+01 5.452250e+00 -4.954667e-01 -6.447139e-02 4.352089e+00 -4.665455e-01 6.198747e-01
0 1.260000e-02 2.691879e+01 5.492508e+00 -5.149764e-01 -6.020772e-02 4.388766e+00 -4.752275e-01 6.218314e-01
0 1.260000e-02 2.758926e+01 5.531434e+00 -5.342995e-01 -5.543336e-02 4.423812e+00 -4.838257e-01 6.236331e-01
0 1.260000e-02 2.825973e+01 5.567634e+00 -5.529509e-01 -5.112714e-02 4.459231e+00 -4.934522e-01 6.274226e-01
0 1.260000e-02 2.893020e+01 5.601593e+00 -5.710673e-01 -4.703605e-02 4.494431e+00 -5.037263e-01 6.324905e-01
0 1.260000e-02 2.960067e+01 5.634274e+00 -5.889378e-01 -4.259911e-02 4.528177e+00 -5.138979e-01 6.374227e-01
0 1.260000e-02 3.027114e+01 5.665712e+00 -6.065534e-01 -3.785491e-02 4.560522e+00 -5.239549e-01 6.422105e-01
0 1.260000e-02 3.094161e+01 5.696044e+00 -6.239600e-01 -3.282520e-02 4.591610e+00 -5.339180e-01 6.468588e-01
0 1.260000e-02 3.161208e+01 5.725179e+00 -6.410809e-01 -2.756280e-02 4.621359e+00 -5.437372e-01 6.513431e-01
0 1.260000e-02 3.228255e+01 5.753151e+00 -6.579050e-01 -2.210143e-02 4.649812e+00 -5.534021e-01 6.556538e-01
0 1.260000e-02 3.295302e+01 5.779989e+00 -6.744226e-01 -1.647165e-02 4.677008e+00 -5.629032e-01 6.597860e-01
0 1.260000e-02 3.362349e+01 5.805727e+00 -6.906257e-01 -1.070216e-02 4.702989e+00 -5.722325e-01 6.637332e-01
0 1.260000e-02 3.429396e+01 5.830394e+00 -7.065067e-01 -4.818261e-03 4.727795e+00 -5.813839e-01 6.674927e-01
0 1.260000e-02 3.496443e+01 5.852325e+00 -7.215563e-01 1.811385e-04 4.750719e+00 -5.911958e-01 6.702784e-01
0 1.260000e-02 3.563490e+01 5.872879e+00 -7.361635e-01 5.039930e-03 4.772385e+00 -6.010010e-01 6.727008e-01
0 1.260000e-02 3.630537e+01 5.891588e+00 -7.497742e-01 9.743333e-03 4.792050e+00 -6.101352e-01 6.748484e-01
0 1.260000e-02 3.697584e+01 5.902184e+00 -7.576255e-01 1.253226e-02 4.803165e+00 -6.154035e-01 6.760355e-01
0 1.260000e-02 3.764631e+01 5.912505e+00 -7.653745e-01 1.533905e-02 4.813972e+00 -6.206011e-01 6.771685e-01
0 1.260000e-02 3.831678e+01 5.922554e+00 -7.730205e-01 1.816097e-02 4.824479e+00 -6.257302e-01 6.782470e-01
0 1.260000e-02 3.898725e+01 5.932334e+00 -7.805641e-01 2.099589e-02 4.834689e+00 -6.307885e-01 6.792713e-01
