# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
23 1.000000e-02 1.000000e+02 2.677899e+00 -1.889250e-01 2.143118e-02 2.996242e+00 6.436160e-02 5.042888e-01
24 1.000000e-02 4.000000e+00 1.652771e+00 1.952274e-01 -4.877210e-02 2.001282e+00 1.948797e-01 6.641610e-01
24 1.000000e-02 1.000000e+02 2.309428e+00 7.105488e-01 -5.341911e-02 2.131293e+00 7.056626e-01 8.195832e-01
25 1.000000e-02 4.000000e+00 1.503835e+00 3.451786e-01 1.491295e-01 1.729058e+00 -5.309522e-03 5.299081e-01
25 1.000000e-02 1.000000e+02 2.302716e+00 4.529148e-01 1.626145e-01 2.351634e+00 -3.261952e-02 5.665728e-01
26 1.000000e-02 4.000000e+00 1.316416e+00 -4.104821e-01 -5.527668e-01 1.426280e+00 -3.640782e-01 6.807985e-01
26 1.000000e-02 1.000000e+02 1.828346e+00 -1.418173e-02 -1.514091e-01 2.405739e+00 1.726153e-01 5.031010e-01
27 1.000000e-02 4.000000e+00 1.717842e+00 2.093446e-01 -4.585702e-01 1.783613e+00 -3.258975e-01 2.534948e-01
27 1.000000e-02 1.000000e+02 1.984375e+00 -2.704268e-01 -5.267010e-01 2.317291e+00 -4.902153e-01 1.392848e-01
28 1.000000e-02 4.000000e+00 1.617578e+00 -4.532728e-01 1.563282e-01 1.768365e+00 2.017903e-02 6.662452e-01
28 1.000000e-02 1.000000e+02 2.339674e+00 1.709378e+00 1.039738e+00 3.204529e+00 7.927909e-01 2.220070e-01
29 1.000000e-02 4.000000e+00 1.357643e+00 3.397934e-01 2.247707e-01 1.390143e+00 2.787182e-01 7.724166e-04
29 1.000000e-02 1.000000e+02 1.140817e+00 2.440476e-02 4.722182e-01 1.161901e+00 -3.732431e-02 -7.582368e-01
30 1.000000e-02 4.000000e+00 1.606190e+00 2.679288e-02 -2.018993e-01 1.663838e+00 1.421625e-01 3.485089e-01
30 1.000000e-02 1.000000e+02 1.794591e+00 -1.933784e-01 1.803334e-01 2.025489e+00 -2.303331e-01 4.975510e-01
31 1.000000e-02 4.000000e+00 1.513716e+00 -4.687428e-02 4.617196e-02 2.113665e+00 -7.779956e-02 6.960435e-01
31 1.000000e-02 1.000000e+02 1.439065e+00 -1.290536e-02 5.207604e-01 2.044693e+00 -8.192676e-01 -1.174898e-01
32 1.000000e-02 4.000000e+00 1.647988e+00 -2.376264e-02 -4.045984e-02 2.244746e+00 1.176416e+00 4.686153e-01
32 1.000000e-02 1.000000e+02 2.372220e+00 3.250156e-01 1.564415e-01 2.406758e+00 1.469994e-02 4.126071e-01
33 1.000000e-02 4.000000e+00 1.746796e+00 2.835858e-01 -8.526009e-01 1.791546e+00 1.267412e+00 1.629013e+00
