# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
0 1.000000e-02 4.000000e+00 1.603933e+00 2.977628e-01 3.508942e-01 1.139351e+00 -5.467201e-01 1.615047e-03
0 1.000000e-02 1.000000e+02 6.249116e+00 -1.063107e+00 1.583899e-01 5.148728e+00 -8.680556e-01 6.427176e-01
1 1.000000e-02 4.000000e+00 1.705761e+00 1.023079e+00 5.920911e-01 1.368049e+00 3.240246e-02 1.419759e-01
1 1.000000e-02 1.000000e+02 4.050124e+00 5.878553e-01 6.849704e-01 4.257135e+00 8.372971e-01 2.839013e-01
2 1.000000e-02 4.000000e+00 1.641241e+00 1.030738e+00 7.644703e-01 1.151479e+00 6.695264e-01 -3.061047e-01
2 1.000000e-02 1.000000e+02 3.895101e+00 1.255022e+00 4.470033e-01 3.857485e+00 1.279733e+00 2.043097e-01
3 1.000000e-02 4.000000e+00 1.603530e+00 6.718497e-01 5.479267e-01 1.238520e+00 4.382420e-02 4.892778e-02
3 1.000000e-02 1.000000e+02 2.022933e+00 -5.258975e-01 4.575441e-01 1.849007e+00 1.591545e-01 8.131514e-01
4 1.000000e-02 4.000000e+00 1.381673e+00 1.134509e+00 6.389767e-01 1.120328e+00 6.333269e-01 -3.324912e-01
4 1.000000e-02 1.000000e+02 3.395519e+00 3.038229e+00 -2.681215e-01 4.677610e+00 -2.690383e-01 -5.868926e-01
5 1.000000e-02 4.000000e+00 1.565465e+00 3.861905e-01 4.234416e-01 1.507782e+00 2.210312e-01 1.961603e-01
5 1.000000e-02 1.000000e+02 4.500143e+00 6.327391e-03 2.336727e-01 4.243999e+00 -5.337949e-01 3.207475e-02
6 1.000000e-02 4.000000e+00 1.568492e+00 2.882651e-01 1.878557e-01 1.431366e+00 1.075413e-01 1.620295e-01
6 1.000000e-02 1.000000e+02 4.249361e+00 3.725697e-01 1.031186e+00 4.222694e+00 -1.219908e-01 8.168858e-02
7 1.000000e-02 4.000000e+00 1.482120e+00 2.624249e-01 3.243538e-01 1.234574e+00 1.524448e-03 2.082152e-01
7 1.000000e-02 1.000000e+02 4.461204e+00 -2.208161e-02 -1.589575e-01 4.249177e+00 -9.873710e-01 7.888616e-01
8 1.000000e-02 4.000000e+00 1.568461e+00 1.153146e+00 6.404706e-01 8.494127e-01 3.842726e-01 -4.099880e-01
8 1.000000e-02 1.000000e+02 3.289856e+00 4.731297e-02 6.929267e-01 3.132009e+00 -4.731951e-01 -3.443673e-01
9 1.000000e-02 4.000000e+00 1.523797e+00 7.389627e-01 5.465250e-01 1.222595e+00 6.232622e-01 -4.521132e-03
9 1.000000e-02 1.000000e+02 4.340551e+00 -1.732738e-01 3.667986e-01 3.622085e+00 -3.709479e-01 9.089072e-01
10 1.000000e-02 4.000000e+00 1.537579e+00 4.945798e-01 4.142903e-01 1.304151e+00 1.472630e-01 1.730011e-01
10 1.000000e-02 1.000000e+02 2.381843e+00 -2.594709e-02 9.666964e-01 2.302128e+00 -2.320172e-01 1.458764e-01
11 1.000000e-02 4.000000e+00 1.495233e+00 1.357311e+00 8.027358e-01 1.306718e+00 9.123707e-01 -3.534985e-01
11 1.000000e-02 1.000000e+02 4.534781e+00 3.260021e-01 1.934554e+00 4.067822e+00 2.847211e+00 -2.361298e-01
12 1.000000e-02 4.000000e+00 1.509070e+00 5.093103e-01 5.118758e-01 1.358694e+00 2.811757e-01 4.979074e-03
12 1.000000e-02 1.000000e+02 5.281241e+00 1.285446e+00 2.297560e+00 5.233384e+00 1.487939e+00 -1.065032e+00
13 1.000000e-02 4.000000e+00 1.558743e+00 7.891178e-01 6.885056e-01 1.153631e+00 5.341504e-01 -2.046027e-01
13 1.000000e-02 1.000000e+02 2.757641e+00 -2.143227e+00 1.275802e+00 1.413681e+00 2.961518e+00 -2.183587e+00
14 1.000000e-02 4.000000e+00 1.568813e+00 9.455193e-01 6.949348e-01 1.269800e+00 4.311791e-01 -1.187444e-03
14 1.000000e-02 1.000000e+02 2.064690e+00 6.794116e-01 6.633054e-01 2.344490e+00 5.217098e-01 2.881538e-01
15 1.000000e-02 4.000000e+00 1.476649e+00 8.989029e-01 9.429255e-01 1.259671e+00 2.139187e-01 -2.185154e-01
15 1.000000e-02 1.000000e+02 3.329735e+00 -4.697838e-01 2.150083e+00 3.892138e+00 -5.869656e-01 -2.460057e-01
16 1.000000e-02 4.000000e+00 1.314369e+00 4.499718e-01 5.001822e-01 1.258008e+00 5.078627e-01 -1.770167e-01
16 1.000000e-02 1.000000e+02 5.242770e+00 -2.003821e-01 4.094675e-01 5.008342e+00 -2.354853e-01 2.090503e-01
17 1.000000e-02 4.000000e+00 1.484083e+00 6.781664e-01 6.468281e-01 1.294142e+00 2.879732e-01 3.106755e-02
17 1.000000e-02 1.000000e+02 3.563355e+00 1.515257e+00 7.485830e-01 3.572759e+00 4.522001e-01 -3.015730e-01
18 1.000000e-02 4.000000e+00 1.467009e+00 7.525361e-02 3.181553e-01 1.178799e+00 -2.750759e-01 1.033041e-01
18 1.000000e-02 1.000000e+02 2.843353e+00 2.959425e-01 3.412716e-01 3.077524e+00 1.315079e-01 -3.325956e-01
19 1.000000e-02 4.000000e+00 1.511213e+00 7.000618e-01 6.118219e-01 1.284219e+00 3.163433e-01 -5.755550e-02
19 1.000000e-02 1.000000e+02 1.578830e+00 2.501624e+00 4.010151e-01 3.080252e+00 -2.003775e-01 -8.548415e-01
20 1.000000e-02 4.000000e+00 1.547794e+00 1.135153e+00 5.161844e-01 1.407090e+00 6.405087e-01 -8.839399e-02
20 1.000000e-02 1.000000e+02 2.793416e+00 4.534521e-01 5.625799e-01 2.565793e+00 2.945261e-01 -6.871897e-02
21 1.000000e-02 4.000000e+00 1.498787e+00 5.214030e-02 3.652427e-01 1.225697e+00 6.159136e-02 1.708330e-01
21 1.000000e-02 1.000000e+02 4.530276e+00 5.992194e-01 3.296255e-01 4.735304e+00 8.777313e-01 1.373930e-01
22 1.000000e-02 4.000000e+00 1.457151e+00 6.857570e-01 4.902368e-01 1.294093e+00 1.869920e-01 5.956692e-02
22 1.000000e-02 1.000000e+02 4.223353e+00 6.591212e-01 4.077498e-01 4.755771e+00 3.417546e-01 7.044340e-01
23 1.000000e-02 4.000000e+00 1.566428e+00 1.607690e-01 3.502758e-01 1.177777e+00 7.504272e-02 -2.369380e-01
23 1.000000e-02 1.000000e+02 3.667266e+00 -3.657377e-02 2.693403e-01 2.924290e+00 -1.239695e+00 1.976999e-01
24 1.000000e-02 4.000000e+00 1.645918e+00 9.274291e-01 5.960574e-01 8.687359e-01 6.709526e-01 -5.365071e-01
24 1.000000e-02 1.000000e+02 4.893388e+00 4.993215e-01 7.796755e-02 5.089680e+00 6.354415e-02 3.415779e-01
25 1.000000e-02 4.000000e+00 1.619770e+00 3.936329e-01 5.275363e-01 1.374152e+00 2.055244e-01 9.956360e-03
25 1.000000e-02 1.000000e+02 3.610686e+00 3.297991e-01 4.672098e-01 3.356257e+00 -5.107325e-02 1.264973e-01
26 1.000000e-02 4.000000e+00 1.337457e+00 5.721101e-01 6.445317e-01 1.477719e+00 6.711145e-01 -1.344285e-01
26 1.000000e-02 1.000000e+02 4.411789e+00 6.099867e-01 1.483900e+00 4.261425e+00 4.758313e-01 -2.806776e-01
27 1.000000e-02 4.000000e+00 1.643184e+00 6.234980e-01 5.166357e-01 1.026377e+00 2.328157e-04 -6.881753e-02
27 1.000000e-02 1.000000e+02 4.199091e+00 3.497802e-01 4.802201e-01 3.921377e+00 7.428716e-01 6.791278e-01
28 1.000000e-02 4.000000e+00 1.409714e+00 7.943311e-01 5.373933e-01 8.469038e-01 4.045584e-01 -1.658831e-01
28 1.000000e-02 1.000000e+02 4.188768e+00 1.507033e+00 1.384161e+00 2.797023e+00 -8.769090e-01 6.189721e-01
29 1.000000e-02 4.000000e+00 1.522788e+00 1.143428e+00 8.929625e-01 1.255541e+00 8.120596e-01 -2.937591e-01
29 1.000000e-02 1.000000e+02 4.542426e+00 4.203495e-01 1.244654e+00 4.111540e+00 6.797850e-01 2.835255e-01
30 1.000000e-02 4.000000e+00 1.534253e+00 5.550433e-01 4.350164e-01 1.426465e+00 3.078467e-01 3.552079e-03
30 1.000000e-02 1.000000e+02 4.959099e+00 8.353528e-01 1.201807e+00 4.290844e+00 2.470620e-01 -5.556870e-01
31 1.000000e-02 4.000000e+00 1.502573e+00 4.916339e-01 4.295517e-01 1.193338e+00 1.791165e-01 1.848221e-01
31 1.000000e-02 1.000000e+02 5.669975e+00 1.651374e+00 9.548326e-01 5.814970e+00 1.979597e+00 -4.701548e-01
32 1.000000e-02 4.000000e+00 1.540746e+00 6.335045e-01 3.812615e-01 1.207453e+00 1.364565e-02 9.437579e-02
32 1.000000e-02 1.000000e+02 4.987581e+00 8.924428e-01 8.933476e-01 4.602409e+00 1.168786e+00 -5.170356e-01
33 1.000000e-02 4.000000e+00 1.620247e+00 9.107243e-01 7.040461e-01 1.342797e+00 1.900172e-01 -3.903869e-01
33 1.000000e-02 1.000000e+02 2.822227e+00 -5.922670e-01 3.761261e-01 3.833301e+00 -3.424230e+00 -1.099653e+00
34 1.000000e-02 4.000000e+00 1.569693e+00 4.931428e-01 4.590541e-01 1.288628e+00 -2.632532e-01 2.687113e-01
34 1.000000e-02 1.000000e+02 3.552990e+00 1.941923e-01 1.266353e+00 2.624929e+00 -1.386738e+00 1.050842e+00
35 1.000000e-02 4.000000e+00 1.527816e+00 2.624621e-01 3.125849e-01 1.416847e+00 2.815778e-01 3.803585e-01
35 1.000000e-02 1.000000e+02 2.710672e+00 9.207376e-01 -1.206211e+00 3.141841e+00 2.676150e-01 3.120272e-01
36 1.000000e-02 4.000000e+00 1.458879e+00 4.640083e-01 4.501709e-01 1.284729e+00 3.022948e-01 -1.193690e-01
36 1.000000e-02 1.000000e+02 5.207711e+00 2.991162e+00 2.678511e+00 4.777823e+00 5.448099e-01 2.818177e-01
37 1.000000e-02 4.000000e+00 1.660143e+00 1.199770e+00 7.328622e-01 1.003948e+00 3.667733e-01 -1.436430e-01
37 1.000000e-02 1.000000e+02 3.775134e+00 1.039702e+00 5.974741e-01 3.998086e+00 1.279183e+00 1.409503e-01
38 1.000000e-02 4.000000e+00 1.560232e+00 6.243523e-01 5.023954e-01 1.379523e+00 3.259250e-01 1.413651e-01
38 1.000000e-02 1.000000e+02 5.386524e+00 1.869976e+00 1.158183e+00 4.248417e+00 -2.361235e-01 -5.487570e-01
39 1.000000e-02 4.000000e+00 1.456820e+00 4.044743e-01 3.764671e-01 1.062144e+00 -1.274457e-01 7.288170e-02
39 1.000000e-02 1.000000e+02 3.595676e+00 -6.675148e-01 4.378979e-01 2.874607e+00 -3.268361e-02 -2.745528e-01
40 1.000000e-02 4.000000e+00 1.408144e+00 9.261678e-01 6.644164e-01 1.116880e+00 8.282397e-01 -2.693813e-01
40 1.000000e-02 1.000000e+02 3.323048e+00 6.253129e-01 9.850374e-01 3.660666e+00 5.145960e-01 -5.402246e-01
41 1.000000e-02 4.000000e+00 1.495376e+00 8.368254e-01 5.483689e-01 1.315578e+00 5.008337e-01 1.444168e-01
41 1.000000e-02 1.000000e+02 1.791885e+00 5.042319e+00 1.225940e+00 1.470195e+00 -1.667604e-01 2.292423e-01
42 1.000000e-02 4.000000e+00 1.448340e+00 8.546069e-01 6.290916e-01 1.076077e+00 1.926487e-01 1.081770e-01
42 1.000000e-02 1.000000e+02 4.787751e+00 1.201086e+00 9.336662e-01 4.734379e+00 -4.544093e-01 2.312905e+00
