# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
0 1.000000e-02 4.000000e+00 1.778987e+00 2.277945e-01 2.866322e-01 1.287097e+00 -3.861836e-01 2.172512e-02
0 1.000000e-02 1.000000e+02 6.029860e+00 -8.738445e-01 2.001505e-01 5.072963e+00 -7.786556e-01 6.992956e-01
1 1.000000e-02 4.000000e+00 1.617437e+00 2.799139e-01 4.540577e-01 1.508738e+00 -7.140416e-02 -5.194283e-02
1 1.000000e-02 1.000000e+02 3.766305e+00 5.005007e-01 5.733271e-01 3.961460e+00 8.445862e-01 1.018734e-01
2 1.000000e-02 4.000000e+00 1.687183e+00 3.490665e-01 3.173724e-01 1.386083e+00 -9.168583e-02 1.894958e-01
2 1.000000e-02 1.000000e+02 4.230067e+00 1.111525e+00 3.083532e-01 4.112390e+00 1.095219e+00 4.552867e-01
3 1.000000e-02 4.000000e+00 1.715368e+00 1.341486e-01 2.247288e-01 1.494196e+00 -5.175090e-02 1.715322e-01
3 1.000000e-02 1.000000e+02 2.013313e+00 -8.486829e-01 3.093740e-01 2.073752e+00 4.867899e-02 8.247409e-01
4 1.000000e-02 4.000000e+00 1.771881e+00 -3.410017e-02 -1.550142e-01 1.693189e+00 4.917634e-02 -9.300247e-02
4 1.000000e-02 1.000000e+02 3.457191e+00 1.753059e+00 -4.731947e-01 4.570399e+00 -3.069456e-01 -4.376304e-01
5 1.000000e-02 4.000000e+00 1.534259e+00 1.122882e-01 3.366250e-01 1.517714e+00 7.093298e-02 2.300309e-01
5 1.000000e-02 1.000000e+02 4.929717e+00 -3.154543e-02 3.841587e-01 4.732193e+00 -4.066526e-01 3.643491e-01
6 1.000000e-02 4.000000e+00 1.625665e+00 2.079388e-01 2.470236e-01 1.612070e+00 3.425623e-01 -4.168808e-02
6 1.000000e-02 1.000000e+02 4.170384e+00 4.097691e-01 1.028426e+00 4.322346e+00 -1.405535e-01 -2.062917e-03
7 1.000000e-02 4.000000e+00 1.649229e+00 1.957638e-01 2.768916e-01 1.522632e+00 -7.638931e-04 2.474506e-01
7 1.000000e-02 1.000000e+02 4.561194e+00 -1.556795e-01 -1.976992e-01 3.888657e+00 -1.047936e+00 6.059951e-01
8 1.000000e-02 4.000000e+00 1.657858e+00 4.833317e-02 2.346472e-01 1.600058e+00 1.295905e-01 2.424520e-02
8 1.000000e-02 1.000000e+02 3.388663e+00 -2.265143e-01 5.784103e-01 3.371416e+00 -3.920641e-01 -1.931845e-01
9 1.000000e-02 4.000000e+00 1.609827e+00 1.588298e-01 3.412555e-01 1.485489e+00 2.319234e-01 -4.492950e-02
9 1.000000e-02 1.000000e+02 4.746291e+00 -1.408582e-01 4.413521e-01 3.993418e+00 -2.422901e-01 7.166533e-01
10 1.000000e-02 4.000000e+00 1.530259e+00 -3.749347e-02 2.046044e-01 1.509170e+00 -4.789725e-02 3.135376e-01
10 1.000000e-02 1.000000e+02 2.378027e+00 -6.984997e-02 8.523403e-01 2.249264e+00 -2.308795e-01 2.046973e-01
11 1.000000e-02 4.000000e+00 1.642036e+00 1.359768e-01 2.144976e-01 1.582443e+00 1.966794e-01 -1.336107e-01
