# x Q2 F2_free_p F3_free_p
1.000000000000000036e-10 1.000000000000000056e-01 5.463508807500798703e-01 6.656506526267739385e+07
1.000000000000000036e-10 1.258925411794167282e-01 6.660003950899937575e-01 1.366023275536491871e+08
1.000000000000000036e-10 1.584893192461113431e-01 8.050928720305070563e-01 2.538571586839486659e+08
1.000000000000000036e-10 1.995262314968879735e-01 9.639779920795250590e-01 4.390080931941277981e+08
1.000000000000000036e-10 2.511886431509580131e-01 1.142021602902043576e+00 7.159217537618143559e+08
1.000000000000000036e-10 3.162277660168379412e-01 1.337423286504118458e+00 1.108827480477597952e+09
1.000000000000000036e-10 3.981071705534973137e-01 1.547037263113686167e+00 1.637384433898828268e+09
1.000000000000000036e-10 5.011872336272723549e-01 1.752495983790280043e+00 2.224578737644252777e+09
1.000000000000000036e-10 6.309573444801933606e-01 1.953946572165617290e+00 2.881269883630714893e+09
1.000000000000000036e-10 7.943282347242814900e-01 2.151196277218562436e+00 3.617705024891389847e+09
1.000000000000000036e-10 1.000000000000000000e+00 3.862437165249499316e+00 7.444875893383333206e+09
1.000000000000000036e-10 1.258925411794167504e+00 6.531712429890518479e+00 1.402027826386178780e+10
1.000000000000000036e-10 1.584893192461114042e+00 1.037180278556491864e+01 2.428957598385640335e+10
1.000000000000000036e-10 1.995262314968879735e+00 1.539592552775724599e+01 3.869935262213803101e+10
1.000000000000000036e-10 2.511886431509581019e+00 2.166464874893079084e+01 5.769009610781816101e+10
1.000000000000000036e-10 3.162277660168379523e+00 2.975603683731386440e+01 8.305486342212179565e+10
1.000000000000000036e-10 3.981071705534973137e+00 3.887870816347452063e+01 1.127385584761098633e+11
1.000000000000000036e-10 5.011872336272724660e+00 5.102536549915065223e+01 1.526158974695979004e+11
1.000000000000000036e-10 6.309573444801933384e+00 6.351910796767461420e+01 1.947799476346590576e+11
1.000000000000000036e-10 7.943282347242817565e+00 7.942013905368523297e+01 2.485329728590839233e+11
1.000000000000000036e-10 1.000000000000000000e+01 9.574835881243328117e+01 3.045396395193035278e+11
1.000000000000000036e-10 1.258925411794167459e+01 1.159789558178518831e+02 3.736610932152598267e+11
1.000000000000000036e-10 1.584893192461114175e+01 1.363426692602347998e+02 4.438090733627443237e+11
1.000000000000000036e-10 1.995262314968880801e+01 1.606812139029387936e+02 5.274245510775563354e+11
1.000000000000000036e-10 2.511886431509581996e+01 1.853532605027072009e+02 6.124765350324008789e+11
1.000000000000000036e-10 3.162277660168379256e+01 2.144617459891674685e+02 7.123770414341635742e+11
1.000000000000000036e-10 3.981071705534973404e+01 2.436056461985969577e+02 8.125613459592138672e+11
1.000000000000000036e-10 5.011872336272725192e+01 2.774686217036643257e+02 9.287600482656312256e+11
1.000000000000000036e-10 6.309573444801936404e+01 3.114027285686343589e+02 1.045254788206077271e+12
1.000000000000000036e-10 7.943282347242821118e+01 3.500907932063577732e+02 1.177406779913741211e+12
1.000000000000000036e-10 1.000000000000000000e+02 3.890447687864850650e+02 1.310420252435795654e+12
1.000000000000000036e-10 1.258925411794167530e+02 4.336833159669206452e+02 1.462882875586492188e+12
1.000000000000000036e-10 1.584893192461114211e+02 4.783119244553026874e+02 1.615275416177565918e+12
