# replica x Q2 F2
0 1.258925e-03 2.511886e+00 2.182328e+00
0 1.258925e-03 3.162278e+00 2.443798e+00
0 1.258925e-03 3.981072e+00 2.714668e+00
0 1.258925e-03 5.011872e+00 2.983664e+00
0 1.258925e-03 6.309573e+00 3.250783e+00
0 1.258925e-03 7.943282e+00 3.515961e+00
0 1.258925e-03 1.000000e+01 3.779104e+00
0 1.258925e-03 1.258925e+01 4.040180e+00
0 1.258925e-03 1.584893e+01 4.299102e+00
0 1.258925e-03 1.995262e+01 4.554101e+00
0 1.258925e-03 2.511886e+01 4.803033e+00
0 1.258925e-03 3.162278e+01 5.063944e+00
0 1.258925e-03 3.981072e+01 5.314818e+00
0 1.258925e-03 5.011872e+01 5.563463e+00
0 1.258925e-03 6.309573e+01 5.809496e+00
0 1.258925e-03 7.943282e+01 6.052895e+00
0 1.258925e-03 1.000000e+02 6.293648e+00
0 1.258925e-03 1.258925e+02 6.531749e+00
0 1.258925e-03 1.584893e+02 6.767198e+00
0 1.258925e-03 1.995262e+02 6.999956e+00
0 1.584893e-03 2.511886e+00 2.117275e+00
0 1.584893e-03 3.162278e+00 2.363062e+00
0 1.584893e-03 3.981072e+00 2.616931e+00
0 1.584893e-03 5.011872e+00 2.867883e+00
0 1.584893e-03 6.309573e+00 3.116006e+00
0 1.584893e-03 7.943282e+00 3.361318e+00
0 1.584893e-03 1.000000e+01 3.603806e+00
0 1.584893e-03 1.258925e+01 3.843518e+00
0 1.584893e-03 1.584893e+01 4.080411e+00
0 1.584893e-03 1.995262e+01 4.312952e+00
0 1.584893e-03 2.511886e+01 4.539249e+00
0 1.584893e-03 3.162278e+01 4.775610e+00
0 1.584893e-03 3.981072e+01 5.002253e+00
0 1.584893e-03 5.011872e+01 5.226273e+00
0 1.584893e-03 6.309573e+01 5.447364e+00
0 1.584893e-03 7.943282e+01 5.665541e+00
0 1.584893e-03 1.000000e+02 5.880823e+00
0 1.584893e-03 1.258925e+02 6.093236e+00
0 1.584893e-03 1.584893e+02 6.302808e+00
0 1.584893e-03 1.995262e+02 6.509531e+00
0 1.995262e-03 2.511886e+00 2.052359e+00
0 1.995262e-03 3.162278e+00 2.282961e+00
0 1.995262e-03 3.981072e+00 2.520351e+00
