,x,Q2,y
0,9.999999999999999e-06,300.0,0.0
1,9.999999999999999e-06,1307.0707070707072,0.0
2,9.999999999999999e-06,2314.1414141414143,0.0
3,9.999999999999999e-06,3321.212121212121,0.0
4,9.999999999999999e-06,4328.282828282829,0.0
5,9.999999999999999e-06,5335.353535353535,0.0
6,9.999999999999999e-06,6342.424242424242,0.0
7,9.999999999999999e-06,7349.49494949495,0.0
8,9.999999999999999e-06,8356.565656565657,0.0
9,9.999999999999999e-06,9363.636363636364,0.0
10,9.999999999999999e-06,10370.70707070707,0.0
11,9.999999999999999e-06,11377.777777777777,0.0
12,9.999999999999999e-06,12384.848484848484,0.0
13,9.999999999999999e-06,13391.91919191919,0.0
14,9.999999999999999e-06,14398.9898989899,0.0
15,9.999999999999999e-06,15406.060606060606,0.0
16,9.999999999999999e-06,16413.131313131315,0.0
17,9.999999999999999e-06,17420.20202020202,0.0
18,9.999999999999999e-06,18427.272727272728,0.0
19,9.999999999999999e-06,19434.343434343435,0.0
20,9.999999999999999e-06,20441.41414141414,0.0
21,9.999999999999999e-06,21448.484848484848,0.0
22,9.999999999999999e-06,22455.555555555555,0.0
23,9.999999999999999e-06,23462.62626262626,0.0
24,9.999999999999999e-06,24469.696969696968,0.0
25,9.999999999999999e-06,25476.767676767675,0.0
26,9.999999999999999e-06,26483.83838383838,0.0
27,9.999999999999999e-06,27490.909090909092,0.0
28,9.999999999999999e-06,28497.9797979798,0.0
29,9.999999999999999e-06,29505.050505050505,0.0
30,9.999999999999999e-06,30512.121212121212,0.0
31,9.999999999999999e-06,31519.19191919192,0.0
32,9.999999999999999e-06,32526.262626262625,0.0
33,9.999999999999999e-06,33533.333333333336,0.0
34,9.999999999999999e-06,34540.40404040404,0.0
35,9.999999999999999e-06,35547.47474747475,0.0
36,9.999999999999999e-06,36554.545454545456,0.0
37,9.999999999999999e-06,37561.61616161616,0.0
38,9.999999999999999e-06,38568.68686868687,0.0
39,9.999999999999999e-06,39575.757575757576,0.0
40,9.999999999999999e-06,40582.82828282828,0.0
41,9.999999999999999e-06,41589.89898989899,0.0
42,9.999999999999999e-06,42596.969696969696,0.0
43,9.999999999999999e-06,43604.0404040404,0.0
44,9.999999999999999e-06,44611.11111111111,0.0
45,9.999999999999999e-06,45618.181818181816,0.0
46,9.999999999999999e-06,46625.25252525252,0.0
47,9.999999999999999e-06,47632.32323232323,0.0
48,9.999999999999999e-06,48639.393939393936,0.0
49,9.999999999999999e-06,49646.46464646464,0.0
50,9.999999999999999e-06,50653.53535353535,0.0
51,9.999999999999999e-06,51660.60606060606,0.0
52,9.999999999999999e-06,52667.67676767676,0.0
53,9.999999999999999e-06,53674.74747474747,0.0
54,9.999999999999999e-06,54681.818181818184,0.0
55,9.999999999999999e-06,55688.88888888889,0.0
56,9.999999999999999e-06,56695.9595959596,0.0
57,9.999999999999999e-06,57703.030303030304,0.0
58,9.999999999999999e-06,58710.10101010101,0.0
59,9.999999999999999e-06,59717.17171717172,0.0
60,9.999999999999999e-06,60724.242424242424,0.0
61,9.999999999999999e-06,61731.31313131313,0.0
62,9.999999999999999e-06,62738.38383838384,0.0
63,9.999999999999999e-06,63745.454545454544,0.0
64,9.999999999999999e-06,64752.52525252525,0.0
65,9.999999999999999e-06,65759.59595959596,0.0
66,9.999999999999999e-06,66766.66666666667,0.0
67,9.999999999999999e-06,67773.73737373737,0.0
68,9.999999999999999e-06,68780.80808080808,0.0
69,9.999999999999999e-06,69787.87878787878,0.0
70,9.999999999999999e-06,70794.9494949495,0.0
71,9.999999999999999e-06,71802.0202020202,0.0
72,9.999999999999999e-06,72809.09090909091,0.0
73,9.999999999999999e-06,73816.16161616161,0.0
74,9.999999999999999e-06,74823.23232323233,0.0
75,9.999999999999999e-06,75830.30303030302,0.0
76,9.999999999999999e-06,76837.37373737374,0.0
77,9.999999999999999e-06,77844.44444444444,0.0
78,9.999999999999999e-06,78851.51515151515,0.0
79,9.999999999999999e-06,79858.58585858585,0.0
80,9.999999999999999e-06,80865.65656565657,0.0
81,9.999999999999999e-06,81872.72727272726,0.0
82,9.999999999999999e-06,82879.79797979798,0.0
83,9.999999999999999e-06,83886.86868686868,0.0
84,9.999999999999999e-06,84893.93939393939,0.0
85,9.999999999999999e-06,85901.01010101009,0.0
86,9.999999999999999e-06,86908.0808080808,0.0
87,9.999999999999999e-06,87915.15151515152,0.0
88,9.999999999999999e-06,88922.22222222222,0.0
89,9.999999999999999e-06,89929.29292929293,0.0
90,9.999999999999999e-06,90936.36363636363,0.0
91,9.999999999999999e-06,91943.43434343435,0.0
92,9.999999999999999e-06,92950.50505050505,0.0
93,9.999999999999999e-06,93957.57575757576,0.0
94,9.999999999999999e-06,94964.64646464646,0.0
95,9.999999999999999e-06,95971.71717171717,0.0
96,9.999999999999999e-06,96978.78787878787,0.0
97,9.999999999999999e-06,97985.85858585859,0.0
98,9.999999999999999e-06,98992.92929292929,0.0
99,9.999999999999999e-06,100000.0,0.0
100,1.4007074397452606e-05,300.0,0.0
101,1.4007074397452606e-05,1307.0707070707072,0.0
102,1.4007074397452606e-05,2314.1414141414143,0.0
103,1.4007074397452606e-05,3321.212121212121,0.0
104,1.4007074397452606e-05,4328.282828282829,0.0
105,1.4007074397452606e-05,5335.353535353535,0.0
106,1.4007074397452606e-05,6342.424242424242,0.0
107,1.4007074397452606e-05,7349.49494949495,0.0
108,1.4007074397452606e-05,8356.565656565657,0.0
109,1.4007074397452606e-05,9363.636363636364,0.0
110,1.4007074397452606e-05,10370.70707070707,0.0
