,x,Q2,y
0,9.999999999999999e-06,300.0,0.2
1,9.999999999999999e-06,300.0,0.4
2,9.999999999999999e-06,300.0,0.6000000000000001
3,9.999999999999999e-06,300.0,0.8
4,9.999999999999999e-06,2334.6938775510207,0.2
5,9.999999999999999e-06,2334.6938775510207,0.4
6,9.999999999999999e-06,2334.6938775510207,0.6000000000000001
7,9.999999999999999e-06,2334.6938775510207,0.8
8,9.999999999999999e-06,4369.387755102041,0.2
9,9.999999999999999e-06,4369.387755102041,0.4
10,9.999999999999999e-06,4369.387755102041,0.6000000000000001
11,9.999999999999999e-06,4369.387755102041,0.8
12,9.999999999999999e-06,6404.081632653061,0.2
13,9.999999999999999e-06,6404.081632653061,0.4
14,9.999999999999999e-06,6404.081632653061,0.6000000000000001
15,9.999999999999999e-06,6404.081632653061,0.8
16,9.999999999999999e-06,8438.775510204083,0.2
17,9.999999999999999e-06,8438.775510204083,0.4
18,9.999999999999999e-06,8438.775510204083,0.6000000000000001
19,9.999999999999999e-06,8438.775510204083,0.8
20,9.999999999999999e-06,10473.469387755102,0.2
21,9.999999999999999e-06,10473.469387755102,0.4
22,9.999999999999999e-06,10473.469387755102,0.6000000000000001
23,9.999999999999999e-06,10473.469387755102,0.8
24,9.999999999999999e-06,12508.163265306122,0.2
25,9.999999999999999e-06,12508.163265306122,0.4
26,9.999999999999999e-06,12508.163265306122,0.6000000000000001
27,9.999999999999999e-06,12508.163265306122,0.8
28,9.999999999999999e-06,14542.857142857143,0.2
29,9.999999999999999e-06,14542.857142857143,0.4
30,9.999999999999999e-06,14542.857142857143,0.6000000000000001
31,9.999999999999999e-06,14542.857142857143,0.8
32,9.999999999999999e-06,16577.551020408166,0.2
33,9.999999999999999e-06,16577.551020408166,0.4
34,9.999999999999999e-06,16577.551020408166,0.6000000000000001
35,9.999999999999999e-06,16577.551020408166,0.8
36,9.999999999999999e-06,18612.244897959183,0.2
37,9.999999999999999e-06,18612.244897959183,0.4
38,9.999999999999999e-06,18612.244897959183,0.6000000000000001
39,9.999999999999999e-06,18612.244897959183,0.8
40,9.999999999999999e-06,20646.938775510203,0.2
41,9.999999999999999e-06,20646.938775510203,0.4
42,9.999999999999999e-06,20646.938775510203,0.6000000000000001
43,9.999999999999999e-06,20646.938775510203,0.8
44,9.999999999999999e-06,22681.632653061224,0.2
45,9.999999999999999e-06,22681.632653061224,0.4
46,9.999999999999999e-06,22681.632653061224,0.6000000000000001
47,9.999999999999999e-06,22681.632653061224,0.8
48,9.999999999999999e-06,24716.326530612245,0.2
49,9.999999999999999e-06,24716.326530612245,0.4
50,9.999999999999999e-06,24716.326530612245,0.6000000000000001
51,9.999999999999999e-06,24716.326530612245,0.8
52,9.999999999999999e-06,26751.020408163266,0.2
53,9.999999999999999e-06,26751.020408163266,0.4
54,9.999999999999999e-06,26751.020408163266,0.6000000000000001
55,9.999999999999999e-06,26751.020408163266,0.8
56,9.999999999999999e-06,28785.714285714286,0.2
57,9.999999999999999e-06,28785.714285714286,0.4
58,9.999999999999999e-06,28785.714285714286,0.6000000000000001
59,9.999999999999999e-06,28785.714285714286,0.8
60,9.999999999999999e-06,30820.408163265307,0.2
61,9.999999999999999e-06,30820.408163265307,0.4
62,9.999999999999999e-06,30820.408163265307,0.6000000000000001
