,x,Q2,y
0,mid,mid,mid
1,0.028,30.0,0.0
2,0.028,68.57142857142857,0.0
3,0.028,107.14285714285714,0.0
4,0.028,145.71428571428572,0.0
5,0.028,184.28571428571428,0.0
6,0.028,222.85714285714283,0.0
7,0.028,261.42857142857144,0.0
8,0.028,300.0,0.0
9,0.076,30.0,0.0
10,0.076,68.57142857142857,0.0
11,0.076,107.14285714285714,0.0
12,0.076,145.71428571428572,0.0
13,0.076,184.28571428571428,0.0
14,0.076,222.85714285714283,0.0
15,0.076,261.42857142857144,0.0
16,0.076,300.0,0.0
17,0.149,30.0,0.0
18,0.149,68.57142857142857,0.0
19,0.149,107.14285714285714,0.0
20,0.149,145.71428571428572,0.0
21,0.149,184.28571428571428,0.0
22,0.149,222.85714285714283,0.0
23,0.149,261.42857142857144,0.0
24,0.149,300.0,0.0
25,0.248,30.0,0.0
26,0.248,68.57142857142857,0.0
27,0.248,107.14285714285714,0.0
28,0.248,145.71428571428572,0.0
29,0.248,184.28571428571428,0.0
30,0.248,222.85714285714283,0.0
31,0.248,261.42857142857144,0.0
32,0.248,300.0,0.0
33,0.347,30.0,0.0
34,0.347,68.57142857142857,0.0
35,0.347,107.14285714285714,0.0
36,0.347,145.71428571428572,0.0
37,0.347,184.28571428571428,0.0
38,0.347,222.85714285714283,0.0
39,0.347,261.42857142857144,0.0
40,0.347,300.0,0.0
41,0.447,30.0,0.0
42,0.447,68.57142857142857,0.0
43,0.447,107.14285714285714,0.0
44,0.447,145.71428571428572,0.0
45,0.447,184.28571428571428,0.0
46,0.447,222.85714285714283,0.0
47,0.447,261.42857142857144,0.0
48,0.447,300.0,0.0
49,0.545,30.0,0.0
50,0.545,68.57142857142857,0.0
51,0.545,107.14285714285714,0.0
52,0.545,145.71428571428572,0.0
53,0.545,184.28571428571428,0.0
54,0.545,222.85714285714283,0.0
55,0.545,261.42857142857144,0.0
56,0.545,300.0,0.0
57,0.649,30.0,0.0
58,0.649,68.57142857142857,0.0
59,0.649,107.14285714285714,0.0
60,0.649,145.71428571428572,0.0
61,0.649,184.28571428571428,0.0
62,0.649,222.85714285714283,0.0
63,0.649,261.42857142857144,0.0
64,0.649,300.0,0.0
