,x,Q2,y,x,Q2,y,x,Q2,y
,min,min,min,mid,mid,mid,max,max,max
index,,,,,,,,,
1,0.0,0.0,0.261,0.015,0.19416600000000003,0.30000000000000004,0.03,0.43881516,0.339
2,0.03,0.33784884,0.261,0.045,0.5824980000000001,0.30000000000000004,0.06,0.87763032,0.339
3,0.06,0.67569768,0.261,0.08,1.035552,0.30000000000000004,0.1,1.4627172,0.339
4,0.1,1.1261628,0.261,0.125,1.6180500000000002,0.30000000000000004,0.15,2.1940758,0.339
5,0.15,1.6892441999999999,0.261,0.175,2.26527,0.30000000000000004,0.2,2.9254344,0.339
6,0.2,2.2523256,0.261,0.225,2.9124900000000005,0.30000000000000004,0.25,3.656793,0.339
7,0.25,2.815407,0.261,0.275,3.5597100000000004,0.30000000000000004,0.3,4.3881516,0.339
8,0.3,3.3784883999999997,0.261,0.35,4.53054,0.30000000000000004,0.4,5.8508688,0.339
9,0.4,4.5046512,0.261,0.45,5.824980000000001,0.30000000000000004,0.5,7.313586,0.339
10,0.5,5.630814,0.261,0.55,7.119420000000001,0.30000000000000004,0.6,8.7763032,0.339
11,0.6,6.7569767999999995,0.261,0.6499999999999999,8.41386,0.30000000000000004,0.7,10.2390204,0.339
12,0.0,0.0,0.339,0.015,0.25241579999999997,0.39,0.03,0.57084804,0.441
13,0.03,0.43881516,0.339,0.045,0.7572473999999999,0.39,0.06,1.14169608,0.441
14,0.06,0.87763032,0.339,0.08,1.3462176,0.39,0.1,1.9028268000000002,0.441
15,0.1,1.4627172,0.339,0.125,2.103465,0.39,0.15,2.8542402,0.441
16,0.15,2.1940758,0.339,0.175,2.9448509999999994,0.39,0.2,3.8056536000000003,0.441
17,0.2,2.9254344,0.339,0.225,3.786237,0.39,0.25,4.757066999999999,0.441
18,0.25,3.656793,0.339,0.275,4.627623000000001,0.39,0.3,5.7084804,0.441
19,0.3,4.3881516,0.339,0.35,5.889701999999999,0.39,0.4,7.611307200000001,0.441
20,0.4,5.8508688,0.339,0.45,7.572474,0.39,0.5,9.514133999999999,0.441
21,0.5,7.313586,0.339,0.55,9.255246000000001,0.39,0.6,11.4169608,0.441
22,0.6,8.7763032,0.339,0.6499999999999999,10.938017999999998,0.39,0.7,13.3197876,0.441
