# replica x Q2 F3
0 1.258925e-03 2.511886e+00 -1.453179e-01
0 1.258925e-03 3.162278e+00 -1.663858e-01
0 1.258925e-03 3.981072e+00 -1.782894e-01
0 1.258925e-03 5.011872e+00 -1.951994e-01
0 1.258925e-03 6.309573e+00 -2.153570e-01
0 1.258925e-03 7.943282e+00 -2.372689e-01
0 1.258925e-03 1.000000e+01 -2.597087e-01
0 1.258925e-03 1.258925e+01 -2.817204e-01
0 1.258925e-03 1.584893e+01 -3.026092e-01
0 1.258925e-03 1.995262e+01 -3.219927e-01
0 1.258925e-03 2.511886e+01 -4.669711e-01
0 1.258925e-03 3.162278e+01 -4.639194e-01
0 1.258925e-03 3.981072e+01 -4.612540e-01
0 1.258925e-03 5.011872e+01 -4.585488e-01
0 1.258925e-03 6.309573e+01 -4.558343e-01
0 1.258925e-03 7.943282e+01 -4.531196e-01
0 1.258925e-03 1.000000e+02 -4.504124e-01
0 1.258925e-03 1.258925e+02 -4.477188e-01
0 1.258925e-03 1.584893e+02 -4.450433e-01
0 1.258925e-03 1.995262e+02 -4.423894e-01
0 1.584893e-03 2.511886e+00 -1.205568e-01
0 1.584893e-03 3.162278e+00 -1.420052e-01
0 1.584893e-03 3.981072e+00 -1.547063e-01
0 1.584893e-03 5.011872e+00 -1.719588e-01
0 1.584893e-03 6.309573e+00 -1.917374e-01
0 1.584893e-03 7.943282e+00 -2.128214e-01
0 1.584893e-03 1.000000e+01 -2.343146e-01
0 1.584893e-03 1.258925e+01 -2.552742e-01
0 1.584893e-03 1.584893e+01 -2.750442e-01
0 1.584893e-03 1.995262e+01 -2.932753e-01
0 1.584893e-03 2.511886e+01 -4.314361e-01
0 1.584893e-03 3.162278e+01 -4.280514e-01
0 1.584893e-03 3.981072e+01 -4.250740e-01
0 1.584893e-03 5.011872e+01 -4.220691e-01
0 1.584893e-03 6.309573e+01 -4.190668e-01
0 1.584893e-03 7.943282e+01 -4.160761e-01
0 1.584893e-03 1.000000e+02 -4.131023e-01
0 1.584893e-03 1.258925e+02 -4.101510e-01
0 1.584893e-03 1.584893e+02 -4.072258e-01
0 1.584893e-03 1.995262e+02 -4.043298e-01
0 1.995262e-03 2.511886e+00 -9.536038e-02
0 1.995262e-03 3.162278e+00 -1.168864e-01
0 1.995262e-03 3.981072e+00 -1.296144e-01
0 1.995262e-03 5.011872e+00 -1.465859e-01
0 1.995262e-03 6.309573e+00 -1.661794e-01
0 1.995262e-03 7.943282e+00 -1.870260e-01
0 1.995262e-03 1.000000e+01 -2.080175e-01
0 1.995262e-03 1.258925e+01 -2.283057e-01
0 1.995262e-03 1.584893e+01 -2.472920e-01
0 1.995262e-03 1.995262e+01 -2.646675e-01
0 1.995262e-03 2.511886e+01 -3.939485e-01
0 1.995262e-03 3.162278e+01 -3.902212e-01
0 1.995262e-03 3.981072e+01 -3.869266e-01
0 1.995262e-03 5.011872e+01 -3.836160e-01
0 1.995262e-03 6.309573e+01 -3.803188e-01
0 1.995262e-03 7.943282e+01 -3.770423e-01
0 1.995262e-03 1.000000e+02 -3.737924e-01
0 1.995262e-03 1.258925e+02 -3.705736e-01
0 1.995262e-03 1.584893e+02 -3.673894e-01
0 1.995262e-03 1.995262e+02 -3.642419e-01
0 2.511886e-03 2.511886e+00 -6.958508e-02
0 2.511886e-03 3.162278e+00 -9.106686e-02
0 2.511886e-03 3.981072e+00 -1.041462e-01
0 2.511886e-03 5.011872e+00 -1.210473e-01
0 2.511886e-03 6.309573e+00 -1.397804e-01
0 2.511886e-03 7.943282e+00 -1.595395e-01
0 2.511886e-03 1.000000e+01 -1.793460e-01
0 2.511886e-03 1.258925e+01 -1.983824e-01
0 2.511886e-03 1.584893e+01 -2.160869e-01
