# replica x Q2 F2
0 1.258925e-03 2.511886e+00 2.213664e+00
0 1.258925e-03 3.162278e+00 2.476720e+00
0 1.258925e-03 3.981072e+00 2.748989e+00
0 1.258925e-03 5.011872e+00 3.019326e+00
0 1.258925e-03 6.309573e+00 3.287733e+00
0 1.258925e-03 7.943282e+00 3.554153e+00
0 1.258925e-03 1.000000e+01 3.818493e+00
0 1.258925e-03 1.258925e+01 4.080726e+00
0 1.258925e-03 1.584893e+01 4.340769e+00
0 1.258925e-03 1.995262e+01 4.596847e+00
0 1.258925e-03 2.511886e+01 4.846809e+00
0 1.258925e-03 3.162278e+01 5.108799e+00
0 1.258925e-03 3.981072e+01 5.360655e+00
0 1.258925e-03 5.011872e+01 5.610263e+00
0 1.258925e-03 6.309573e+01 5.857239e+00
0 1.258925e-03 7.943282e+01 6.101562e+00
0 1.258925e-03 1.000000e+02 6.343221e+00
0 1.258925e-03 1.258925e+02 6.582210e+00
0 1.258925e-03 1.584893e+02 6.818531e+00
0 1.258925e-03 1.995262e+02 7.052144e+00
0 1.584893e-03 2.511886e+00 2.151256e+00
0 1.584893e-03 3.162278e+00 2.398891e+00
0 1.584893e-03 3.981072e+00 2.654398e+00
0 1.584893e-03 5.011872e+00 2.906918e+00
0 1.584893e-03 6.309573e+00 3.156546e+00
0 1.584893e-03 7.943282e+00 3.403304e+00
0 1.584893e-03 1.000000e+01 3.647186e+00
0 1.584893e-03 1.258925e+01 3.888243e+00
0 1.584893e-03 1.584893e+01 4.126437e+00
0 1.584893e-03 1.995262e+01 4.360229e+00
0 1.584893e-03 2.511886e+01 4.587720e+00
0 1.584893e-03 3.162278e+01 4.825329e+00
0 1.584893e-03 3.981072e+01 5.053105e+00
0 1.584893e-03 5.011872e+01 5.278236e+00
0 1.584893e-03 6.309573e+01 5.500415e+00
0 1.584893e-03 7.943282e+01 5.719655e+00
0 1.584893e-03 1.000000e+02 5.935978e+00
0 1.584893e-03 1.258925e+02 6.149412e+00
0 1.584893e-03 1.584893e+02 6.359984e+00
0 1.584893e-03 1.995262e+02 6.567688e+00
0 1.995262e-03 2.511886e+00 2.089597e+00
0 1.995262e-03 3.162278e+00 2.322359e+00
0 1.995262e-03 3.981072e+00 2.561672e+00
