name,stat,syst
treatment,ADD,ADD
type,UNCORR,CORR
index,,
1,0.048,0.03
2,0.036,0.026
3,0.027,0.023
4,0.021,0.02
5,0.025,0.019
6,0.026,0.019
7,0.024,0.019
8,0.025,0.021
9,0.022,0.024
10,0.026,0.027
11,0.033,0.032
12,0.055,0.038
13,0.133,0.044
14,0.064,0.059
15,0.045,0.05
16,0.035,0.043
17,0.026,0.038
18,0.029,0.034
19,0.029,0.031
20,0.027,0.031
21,0.028,0.032
22,0.025,0.034
23,0.026,0.039
24,0.034,0.045
25,0.053,0.053
26,0.096,0.062
27,0.065,0.065
28,0.046,0.056
29,0.033,0.048
30,0.025,0.043
31,0.026,0.039
32,0.027,0.036
33,0.025,0.036
34,0.026,0.037
35,0.021,0.039
36,0.024,0.044
37,0.03,0.05
38,0.044,0.058
39,0.076,0.068
40,0.06,0.056
41,0.043,0.05
42,0.032,0.046
43,0.023,0.043
44,0.024,0.042
45,0.023,0.041
46,0.022,0.042
47,0.023,0.044
48,0.019,0.047
49,0.021,0.052
50,0.025,0.057
51,0.034,0.064
52,0.067,0.073
53,0.057,0.035
54,0.044,0.035
55,0.031,0.035
56,0.023,0.035
57,0.024,0.035
58,0.023,0.036
59,0.021,0.037
60,0.021,0.038
61,0.018,0.04
62,0.019,0.042
63,0.022,0.044
64,0.031,0.047
65,0.052,0.05
66,0.059,0.087
67,0.04,0.067
68,0.029,0.05
69,0.022,0.037
70,0.023,0.027
71,0.022,0.021
72,0.019,0.018
73,0.02,0.018
74,0.016,0.022
75,0.018,0.029
76,0.021,0.039
77,0.029,0.053
78,0.054,0.071
79,0.053,0.074
80,0.037,0.059
81,0.029,0.046
82,0.02,0.036
83,0.022,0.028
84,0.02,0.023
85,0.018,0.02
86,0.018,0.02
87,0.014,0.022
88,0.015,0.027
89,0.019,0.035
90,0.026,0.045
91,0.055,0.057
92,0.035,0.046
93,0.025,0.035
94,0.018,0.027
95,0.013,0.021
96,0.013,0.016
97,0.012,0.014
98,0.011,0.013
99,0.012,0.014
100,0.012,0.017
101,0.01,0.022
102,0.012,0.028
103,0.016,0.037
104,0.027,0.048
105,0.029,0.044
106,0.019,0.038
107,0.014,0.034
108,0.01,0.03
109,0.01,0.026
110,0.01,0.024
111,0.008,0.022
112,0.009,0.021
113,0.009,0.02
114,0.007,0.02
115,0.009,0.021
116,0.011,0.023
117,0.019,0.026
118,0.021,0.019
119,0.015,0.019
120,0.01,0.018
121,0.008,0.017
122,0.007,0.016
123,0.006,0.016
124,0.006,0.015
125,0.006,0.014
126,0.006,0.013
127,0.005,0.013
128,0.006,0.012
129,0.008,0.011
130,0.015,0.011
131,0.015,0.014
132,0.01,0.013
133,0.007,0.013
134,0.005,0.012
135,0.004,0.012
136,0.004,0.011
137,0.003,0.011
138,0.004,0.01
139,0.003,0.01
140,0.003,0.009
141,0.003,0.009
142,0.005,0.008
143,0.009,0.008
