name,stat
treatment,ADD
type,UNCORR
1,0.026
2,0.026
3,0.032
4,0.034
5,0.033
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,0.023
19,0.026
20,0.026
21,0.034
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,0.023
34,0.026
35,0.023
36,0.032
37,0.033
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,0.019
49,0.023
50,0.018
51,0.025
52,0.028
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,0.014
64,0.017
65,0.016
66,0.018
67,0.019
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,0.014
79,0.012
80,0.014
81,0.014
82,0.014
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,0.011
93,0.005
94,0.006
95,0.006
96,0.006
97,0.005
98,0.008
99,
100,
101,
102,
103,
104,
105,
106,0.001
107,0.001
108,0.001
109,0.001
110,0.001
111,0.002
112,0.002
