name,stat,syst
treatment,ADD,ADD
type,UNCORR,CORR
index,,
1,0.336,0.843
2,0.371,0.851
3,0.37,0.815
4,0.384,0.88
5,0.36,0.572
6,0.329,0.846
7,0.345,0.919
8,0.345,0.914
9,0.354,0.944
10,0.345,1.033
11,0.327,1.076
12,0.333,1.034
13,0.34,1.018
14,0.339,1.146
15,0.342,1.058
16,0.3,0.939
17,0.308,0.948
18,0.322,0.965
19,0.324,0.998
20,0.321,0.985
21,0.308,0.718
22,0.309,0.699
23,0.315,0.817
24,0.321,0.817
25,0.316,0.883
26,0.302,0.57
27,0.308,0.593
28,0.312,0.598
29,0.318,0.688
30,0.307,0.69
31,0.293,0.465
32,0.298,0.37
33,0.301,0.402
34,0.302,0.426
35,0.3,0.407
36,0.19,0.452
37,0.192,0.428
38,0.19,0.34
39,0.189,0.285
40,0.158,0.672
41,0.152,0.498
42,0.155,0.444
43,0.159,0.434
44,0.119,0.613
45,0.114,0.457
46,0.119,0.441
47,0.078,0.451
48,0.077,0.369
49,0.078,0.325
50,0.445,0.995
51,0.462,0.781
52,0.501,0.685
53,0.493,0.741
54,0.475,0.731
55,0.452,0.911
56,0.428,0.817
57,0.442,0.725
58,0.47,0.967
59,0.469,1.118
60,0.44,1.046
61,0.438,1.147
62,0.42,0.954
63,0.433,0.913
64,0.437,0.903
65,0.44,1.075
66,0.412,1.021
67,0.415,1.185
68,0.386,0.732
69,0.394,0.723
70,0.396,0.733
71,0.398,0.962
72,0.396,0.973
73,0.371,1.121
74,0.383,0.625
75,0.402,0.606
76,0.399,0.618
77,0.395,0.649
78,0.386,0.805
79,0.381,0.95
80,0.384,0.534
81,0.39,0.426
82,0.382,0.457
83,0.385,0.517
84,0.385,0.576
85,0.366,0.831
86,0.381,0.557
87,0.373,0.408
88,0.368,0.353
89,0.377,0.377
90,0.36,0.427
91,0.364,0.589
92,0.237,0.718
93,0.233,0.447
94,0.236,0.417
95,0.221,0.3
96,0.227,0.407
97,0.219,0.299
98,0.193,0.876
99,0.19,0.664
100,0.184,0.473
101,0.186,0.401
102,0.184,0.359
103,0.149,0.751
104,0.131,0.492
105,0.136,0.45
106,0.133,0.399
107,0.132,0.371
108,0.092,0.521
109,0.087,0.371
110,0.086,0.275
111,0.083,0.271
112,0.081,0.188
113,0.632,0.694
114,0.647,0.766
115,0.62,0.789
116,0.641,0.763
117,0.652,0.959
118,0.577,0.781
119,0.626,1.216
120,0.574,0.743
121,0.613,0.853
122,0.582,0.797
123,0.601,1.072
124,0.587,1.087
125,0.558,1.224
126,0.552,1.402
127,0.551,0.801
128,0.588,0.732
129,0.566,0.896
130,0.572,1.031
131,0.539,1.079
132,0.519,1.136
133,0.524,1.504
134,0.505,0.627
135,0.535,0.663
136,0.516,0.684
137,0.51,0.757
138,0.478,1.053
139,0.473,1.035
140,0.47,1.505
141,0.514,0.56
142,0.529,0.438
143,0.528,0.494
144,0.51,0.594
145,0.486,0.751
146,0.463,0.972
147,0.482,1.121
148,0.504,0.448
149,0.491,0.446
150,0.502,0.392
151,0.488,0.43
152,0.468,0.546
153,0.445,0.652
154,0.448,1.109
155,0.469,0.513
156,0.511,0.603
157,0.487,0.448
158,0.457,0.328
159,0.452,0.407
160,0.433,0.481
161,0.422,0.874
162,0.305,0.666
163,0.311,0.579
164,0.3,0.49
165,0.287,0.298
166,0.269,0.25
167,0.262,0.4
168,0.244,0.824
169,0.234,0.603
170,0.238,0.525
171,0.232,0.477
172,0.216,0.34
173,0.217,0.33
174,0.181,0.74
175,0.173,0.503
176,0.173,0.495
177,0.164,0.36
178,0.162,0.261
179,0.149,0.254
180,0.108,0.427
181,0.105,0.334
182,0.104,0.263
183,0.101,0.236
184,0.096,0.225
185,0.776,0.716
186,0.823,0.616
187,0.767,0.674
188,0.827,0.761
189,0.772,0.853
190,0.736,0.941
191,0.746,1.14
192,0.723,0.918
193,0.776,0.874
194,0.743,0.979
195,0.691,0.895
196,0.684,0.962
197,0.674,1.095
198,0.651,1.134
199,0.729,0.827
200,0.743,0.91
201,0.71,0.77
202,0.673,0.998
203,0.685,1.058
204,0.656,1.461
205,0.619,1.341
206,0.636,0.613
207,0.661,0.593
208,0.638,0.776
