name,stat,syst
treatment,ADD,ADD
type,UNCORR,CORR
index,,
1,0.506,0.865
2,0.48,0.73
3,0.477,0.585
4,0.447,0.57
5,0.472,0.549
6,0.446,0.666
7,0.44,0.567
8,0.422,0.517
9,0.421,0.595
10,0.378,0.463
11,0.412,0.634
12,0.404,0.591
13,0.374,0.606
14,0.344,0.451
15,0.321,0.334
16,0.365,0.521
17,0.34,0.409
18,0.339,0.445
19,0.3,0.368
20,0.253,0.215
21,0.336,0.411
22,0.328,0.346
23,0.303,0.342
24,0.268,0.273
25,0.23,0.166
26,0.323,0.32
27,0.311,0.307
28,0.274,0.263
29,0.227,0.22
30,0.202,0.222
31,0.304,0.295
32,0.278,0.197
33,0.235,0.187
34,0.21,0.143
35,0.18,0.115
36,0.191,0.317
37,0.161,0.183
38,0.145,0.151
39,0.119,0.098
40,0.162,0.309
41,0.13,0.169
42,0.109,0.113
43,0.083,0.067
44,0.113,0.293
45,0.096,0.204
46,0.076,0.11
47,0.074,0.201
48,0.058,0.097
49,0.049,0.069
50,0.676,0.79
51,0.683,0.644
52,0.67,0.576
53,0.629,0.604
54,0.657,0.591
55,0.637,0.588
56,0.63,0.622
57,0.611,0.687
58,0.642,0.742
59,0.587,0.611
60,0.572,0.652
61,0.492,0.637
62,0.587,0.65
63,0.561,0.566
64,0.548,0.549
65,0.505,0.462
66,0.449,0.508
67,0.407,0.467
68,0.548,0.554
69,0.498,0.381
70,0.458,0.45
71,0.405,0.388
72,0.367,0.331
73,0.333,0.382
74,0.497,0.477
75,0.484,0.433
76,0.428,0.344
77,0.379,0.328
78,0.335,0.288
79,0.287,0.216
80,0.482,0.56
81,0.453,0.29
82,0.406,0.333
83,0.329,0.269
84,0.277,0.174
85,0.248,0.167
86,0.472,0.498
87,0.412,0.27
88,0.367,0.237
89,0.302,0.164
90,0.26,0.122
91,0.234,0.181
92,0.296,0.622
93,0.25,0.241
94,0.219,0.132
95,0.172,0.126
96,0.14,0.075
97,0.106,0.07
98,0.23,0.542
99,0.2,0.289
100,0.169,0.196
101,0.136,0.108
102,0.112,0.067
103,0.16,0.421
104,0.128,0.211
105,0.113,0.124
106,0.105,0.082
107,0.073,0.056
108,0.101,0.247
109,0.081,0.127
110,0.065,0.075
111,0.058,0.047
112,0.042,0.027
113,0.862,0.513
114,1.004,0.542
115,0.879,0.528
116,0.941,0.638
117,0.832,0.667
118,0.769,0.519
119,0.789,0.625
120,0.823,0.523
121,0.916,0.762
122,0.831,0.653
123,0.802,0.563
124,0.739,0.712
125,0.664,0.62
126,0.643,0.632
127,0.787,0.6
128,0.833,0.672
129,0.719,0.521
130,0.648,0.492
131,0.597,0.475
132,0.518,0.546
133,0.536,0.616
134,0.71,0.487
135,0.712,0.41
136,0.62,0.342
137,0.563,0.378
138,0.497,0.42
139,0.416,0.388
140,0.355,0.384
141,0.693,0.479
142,0.675,0.422
143,0.621,0.335
144,0.513,0.376
145,0.395,0.273
146,0.356,0.27
147,0.297,0.179
148,0.673,0.502
149,0.623,0.34
150,0.515,0.276
151,0.411,0.202
152,0.372,0.196
153,0.337,0.227
154,0.285,0.201
155,0.626,0.487
156,0.572,0.425
157,0.473,0.254
158,0.437,0.296
159,0.327,0.109
160,0.291,0.241
161,0.192,0.084
162,0.371,0.48
163,0.33,0.279
164,0.287,0.134
165,0.233,0.154
166,0.188,0.072
167,0.14,0.085
168,0.298,0.557
169,0.274,0.358
170,0.21,0.179
171,0.161,0.112
172,0.114,0.036
173,0.106,0.062
174,0.227,0.388
175,0.171,0.196
176,0.168,0.135
177,0.116,0.095
178,0.076,0.044
179,0.059,0.026
180,0.128,0.235
181,0.113,0.157
182,0.095,0.11
183,0.066,0.049
184,0.037,0.014
185,1.329,0.944
186,1.396,0.909
187,1.122,0.33
188,1.206,1.059
189,1.158,0.609
190,1.013,0.821
191,1.029,0.816
192,1.172,0.637
193,1.142,0.606
194,1.011,0.49
195,1.028,0.745
196,0.887,0.633
197,0.836,0.715
198,0.723,0.585
199,1.042,0.652
200,1.07,0.564
201,0.958,0.836
202,0.901,0.559
203,0.76,0.549
204,0.653,0.335
205,0.573,0.475
206,0.884,0.446
207,0.889,0.637
208,0.814,0.473
