index,data
1,9.985
2,11.256
3,10.676
4,11.091
5,9.809
6,13.752
7,14.092
8,13.549
9,14.04
10,13.152
11,16.976
12,16.733
13,16.814
14,16.599
15,16.254
16,17.556
17,17.623
18,18.311
19,18.257
20,17.601
21,17.667
22,17.164
23,17.397
24,17.481
25,16.75
26,16.307
27,16.442
28,16.435
29,16.708
30,15.439
31,15.002
32,14.798
33,14.9
34,14.765
35,14.271
36,12.152
37,11.929
38,11.634
39,11.374
40,8.318
41,7.478
42,7.532
43,7.614
44,4.931
45,4.383
46,4.54
47,2.46
48,2.309
49,2.155
50,11.026
51,11.09
52,12.21
53,12.348
54,11.806
55,11.024
56,15.058
57,14.654
58,15.893
59,16.19
60,14.912
61,14.922
62,17.932
63,17.871
64,17.917
65,18.329
66,16.765
67,17.209
68,18.402
69,18.167
70,17.986
71,18.561
72,18.693
73,16.965
74,17.722
75,18.204
76,17.9
77,17.841
78,17.316
79,17.382
80,16.952
81,16.671
82,15.978
83,16.374
84,16.822
85,15.771
86,16.113
87,14.825
88,14.235
89,14.924
90,14.187
91,14.66
92,12.397
93,11.505
94,11.482
95,10.492
96,11.106
97,10.781
98,8.274
99,7.631
100,7.1
101,7.179
102,7.051
103,5.153
104,4.003
105,4.019
106,3.829
107,3.748
108,2.438
109,2.102
110,1.896
111,1.78
112,1.603
113,12.797
114,12.867
115,11.938
116,13.108
117,13.671
118,11.611
119,12.982
120,15.27
121,16.395
122,15.218
123,16.315
124,16.412
125,15.576
126,14.996
127,17.914
128,19.083
129,18.668
130,19.162
131,18.269
132,17.46
133,17.297
134,18.462
135,19.269
136,18.468
137,18.758
138,17.64
139,17.746
140,17.412
141,18.418
142,18.628
143,18.6
144,18.17
145,17.459
146,16.513
147,17.645
148,17.423
149,15.788
150,16.565
151,16.372
152,15.701
153,15.032
154,15.134
155,14.817
156,16.099
157,15.133
158,13.884
159,14.257
160,13.594
161,12.941
162,12.125
163,12.069
164,11.377
165,10.877
166,10.054
167,9.982
168,8.025
169,6.997
170,7.066
171,6.787
172,6.37
173,6.436
174,4.822
175,4.126
176,4.038
177,3.626
178,3.69
179,3.14
180,2.166
181,1.863
182,1.764
183,1.62
184,1.424
185,12.977
186,13.554
187,12.585
188,15.035
189,13.568
190,12.692
191,13.066
192,16.034
193,17.698
194,17.085
195,15.212
196,16.019
197,15.783
198,15.216
199,20.0
200,20.312
201,19.654
202,18.726
203,19.74
204,18.741
205,17.278
206,19.023
207,19.785
208,19.538
209,18.525
210,18.521
211,18.547
212,17.113
213,18.105
214,18.287
215,18.716
216,17.688
217,17.494
