index,data
533,3.442
534,8.643
535,11.72
536,7.282
537,6.397
538,3.665
539,2.792
540,7.322
541,6.442
542,4.219
543,4.203
544,2.28
545,1.846
546,4.339
547,3.805
548,2.169
549,2.654
550,0.675
551,0.458
552,2.622
553,1.71
554,1.145
555,0.859
556,0.507
557,0.232
558,1.646
559,0.641
560,0.782
561,0.425
562,0.118
563,0.058
564,16.438
565,19.092
566,16.218
567,13.727
568,14.55
569,24.655
570,12.013
571,13.012
572,20.786
573,17.964
574,14.314
575,13.75
576,18.992
577,15.237
578,14.457
579,9.169
580,16.236
581,17.238
582,10.536
583,6.159
584,12.224
585,9.377
586,7.897
587,6.639
588,11.02
589,6.86
590,6.894
591,4.111
592,8.34
593,7.149
594,4.163
595,3.189
596,4.852
597,3.869
598,1.918
599,1.453
600,2.027
601,1.644
602,1.011
603,0.722
604,1.18
605,0.736
606,0.686
