,data
0,2.358450379268792
1,2.5276551036766643
2,2.6350981111986975
3,2.713100597359844
4,2.7739500435214115
5,2.8236189067587114
6,2.865450230316897
7,2.9014955042119057
8,2.933103800336476
9,2.961207554632372
10,2.986475070709295
11,3.0094034926963706
12,3.03037197231448
13,3.049675682664306
14,3.0675481540389002
15,3.084177193187852
16,3.0997171461746245
17,3.1142958519722814
18,3.1280202118281712
19,3.140980509662111
20,3.1532537228752515
21,3.164905428091287
22,3.1759922914564864
23,3.1865641282155055
24,3.1966644852214925
25,1.7653526903021524
26,1.8316464641765489
27,1.871895759379713
28,1.9002397553911115
29,1.9218427120776196
30,1.93914087478879
31,1.9534840293471847
32,1.9656706904697636
33,1.9762285006165132
34,1.985518463954921
35,1.9937875436569512
36,2.001223121663779
37,2.00796818244405
38,2.014132644347063
39,2.0198008751547674
40,2.025038516007509
41,2.029902146145126
42,2.0344382604129705
43,2.038685434255579
44,2.0426760295605906
45,2.0464374113101167
46,2.0499916463348846
47,2.053357500521251
48,2.056552558725443
49,2.0595921411786944
50,1.3922412324897264
51,1.4019944923161096
52,1.4064261965269247
53,1.4088337318387754
54,1.410253537464512
55,1.4111147047991204
56,1.4116432830682284
57,1.4119493536646315
58,1.412107537338131
59,1.4121659257339318
60,1.412148090723679
61,1.4120748727614523
62,1.4119622386862878
63,1.4118215381928512
64,1.4116590088006586
65,1.411477989204768
66,1.4112834630229045
67,1.4110792464484048
68,1.4108682755167479
69,1.4106528225862556
70,1.4104346408790378
71,1.4102141440574019
72,1.4099914110701395
73,1.4097674697406655
74,1.40954314380035
75,1.0135874908117952
76,0.9920810780969608
77,0.9776911423445943
78,0.9669311261930524
79,0.9583688384469387
80,0.9512753123132532
81,0.9452329043589394
82,0.9399766856295576
83,0.9353312205519027
84,0.9311736872440373
85,0.9274135434249993
86,0.9239836692370005
87,0.9208326306294661
88,0.9179200567847887
89,0.9152134197599202
90,0.9126862079644333
91,0.9103169060079108
92,0.9080876432621274
93,0.9059833661277373
94,0.9039912917528421
95,0.9021005176089936
96,0.9003015008812035
97,0.8985859794759494
98,0.8969468335348851
99,0.8953777882183533
100,0.5579396896710549
101,0.5299840802150153
102,0.5125324412664768
103,0.500028471533374
104,0.4903767692729263
105,0.48256968744163375
106,0.4760420574711762
107,0.4704553015553516
108,0.46558439255472317
109,0.46127432379810546
110,0.45741785185718686
111,0.4539335664843184
112,0.45075912866912954
113,0.44784630840853157
114,0.44515794758510563
115,0.44266478621207583
116,0.44034179491229264
117,0.43816833676781763
118,0.4361272324132055
119,0.43420402180242323
120,0.43238644735441556
121,0.4306644815302001
122,0.4290295595922939
123,0.427473758843978
124,0.42599016758109315
125,0.19286136697504014
126,0.17534900161314057
127,0.16512455566137763
128,0.15809513230208266
129,0.15282556231911382
130,0.14865873501402554
131,0.14523598395334447
132,0.14235085127441094
133,0.13986728277415933
134,0.1376930565884093
135,0.13576690113520756
136,0.1340419623440502
137,0.13248253210887997
138,0.1310613386666805
139,0.12975795610392024
140,0.12855670903790203
141,0.1274437591538479
142,0.12640780621343334
143,0.1254395210428012
144,0.12453110165674566
145,0.1236759826192226
146,0.12286902162605778
147,0.12210587147609538
148,0.12138233881160451
149,0.12069477990447702
150,0.027909069504578755
151,0.022892096251901695
152,0.020336304289548895
153,0.018723271969440996
154,0.01758410180215128
155,0.016723083407917772
156,0.016040218501557575
157,0.01548118817196064
158,0.015011512046570625
159,0.014608614729750278
160,0.014258151006545382
161,0.013949308593040707
162,0.013674000168799817
163,0.013426180840146242
164,0.013201466851091543
165,0.012996586825233813
166,0.01280861974598399
167,0.012635211598832536
168,0.012474444420079361
169,0.012324737741726932
170,0.012184775882179692
171,0.01205356785653042
172,0.01193029398583334
173,0.011814133271049895
174,0.011704379519930875
175,3.287236438884106e-05
176,1.9217280895042763e-05
177,1.8811928269540702e-05
178,1.7916878868844396e-05
179,1.6644833757142962e-05
180,1.53177964163588e-05
181,1.4068358095759491e-05
182,1.294079185306832e-05
183,1.1938656295418008e-05
184,1.1051892276955747e-05
185,1.0268350484803449e-05
186,9.574275938002279e-06
187,8.956947022972219e-06
188,8.40541897397064e-06
189,7.910751855305059e-06
190,7.465563579740497e-06
191,7.063171284582556e-06
192,6.697962195138917e-06
193,6.365212538300897e-06
194,6.060930802776251e-06
195,5.781729251922976e-06
196,5.524846834981725e-06
197,5.287925908108738e-06
198,5.068795519009666e-06
199,4.865580040096509e-06
