,data
0,3.8668810218558916
1,2.2264350214659197
2,1.4890220346576397
3,0.873012212910518
4,0.7450681696400508
5,0.4381406759179808
6,0.4460333879126169
7,0.2627169934689122
8,0.2968938225096178
9,0.1750633531988689
10,0.21190445921595974
11,0.12505092198189618
12,0.15889673309310848
13,0.09382981574587114
14,0.12360885092422927
15,0.07303063075004061
16,0.09893013893530003
17,0.058476100925135666
18,0.08099164966044652
19,0.04789145274767218
20,0.06754114615182194
21,0.03995156565901739
22,0.05719491821838423
23,0.03384185472209744
24,0.04906468586653969
25,0.029039146326580403
26,0.042558880975041506
27,0.025194874151181823
28,0.03727112385431516
29,0.022069498628885742
30,0.03291473089445184
31,0.019493977420572565
32,0.029282744099024503
33,0.017346240802483
34,0.026222715015632395
35,0.01553634520718639
36,0.023620330162202254
37,0.013996829159431618
38,0.021388498038833238
39,0.01267628332468191
40,1.7921496862910042
41,0.7156259450817417
42,0.5711342092034833
43,0.23232858438150103
44,0.27588840467978226
45,0.11241918033957597
46,0.1619096052517069
47,0.06602469788324676
48,0.10630152198133655
49,0.043367201241864974
50,0.075083202950269
51,0.030639919018830106
52,0.05583061352337279
53,0.022787870644586473
54,0.04312872910977909
55,0.01760603078852283
56,0.03431176262164629
57,0.014008321860806368
58,0.027943631108285304
59,0.01140942384735014
60,0.023195177689250408
61,0.009471281294309582
62,0.019560518410538616
63,0.007987586147623411
64,0.01671687693300201
65,0.006826685426203386
66,0.014450435759534487
67,0.005901353734852299
68,0.012615007984671928
69,0.005151946501139897
70,0.011107905846932288
71,0.004536561745930259
72,0.009855287445475758
73,0.004025064924141344
74,0.008802954321012127
75,0.0035953358635858255
76,0.007910399880263248
77,0.0032308411587514247
78,0.007146856824038788
79,0.00291902131086146
80,0.651336218447121
81,0.09151749098414405
82,0.1716239407301754
83,0.023210219862409173
84,0.08004113259771989
85,0.010725834499927266
86,0.04605233440400445
87,0.00613809795181373
88,0.029824794409077496
89,0.00396013940315129
90,0.02084803616460262
91,0.0027601083387183895
92,0.015373209968463284
93,0.0020304476804481474
94,0.011793253814213436
95,0.0015545035017522227
96,0.009326540292196364
97,0.0012272394124309294
98,0.007556123977907595
99,0.000992772090195966
100,0.006243222063735534
101,0.0008191673839498061
102,0.005243162938153447
103,0.0006871138933265854
104,0.004464157880803811
105,0.0005843784908910756
106,0.003845720910342045
107,0.0005029117189448875
108,0.003346692686914238
109,0.00043724321354314153
110,0.0029382841867056403
111,0.0003835512798453572
112,0.0025998735763658356
113,0.000339101380198905
114,0.0023163785257294587
115,0.0003018955418392286
116,0.0020765637985984725
117,0.0002704468024329659
118,0.0018719235099541728
119,0.00024363045564317656
120,0.07007879334179755
121,0.002650655144761452
122,0.014674027298540487
123,0.0007760055587747789
124,0.006560094927749275
125,0.0003628204835853129
126,0.003685309312670334
127,0.0002088553621094814
128,0.0023476072241343992
129,0.00013526239729654325
130,0.0016205161707275022
131,9.453609246618982e-05
132,0.0011829252950414939
133,6.969492543168074e-05
134,0.0008998372733203421
135,5.345163903978748e-05
136,0.0007065031755504741
137,4.226053357117812e-05
138,0.0005687876517612033
139,3.4229560094868455e-05
140,0.00046733145449913405
141,2.827493090097463e-05
142,0.0003905048044587943
143,2.373990899585242e-05
144,0.0003309750791974951
145,2.020789409572708e-05
146,0.00028394038060017317
147,1.7404369363494798e-05
148,0.0002461517396428437
149,1.5142538756425757e-05
150,0.0002153483147293701
151,1.329175404304117e-05
152,0.00018991820402925857
153,1.1758437155325956e-05
154,0.0001686875410901808
155,1.0474152801243326e-05
156,0.00015078533169765834
157,9.387925735291899e-06
158,0.00013555500510679117
159,8.461162818974316e-06
160,7.310078624517833e-06
161,7.337233717789062e-06
162,1.089066061331773e-07
163,1.647023949185627e-07
164,2.4457947760726632e-08
165,4.1425186437242876e-08
166,9.022980058939048e-09
167,1.644783839476708e-08
168,4.2345412579041505e-09
169,8.162087028188851e-09
170,2.296879924287893e-09
171,4.634157871326244e-09
172,1.3731541152447462e-09
173,2.880833015063583e-09
174,8.807021188413533e-10
175,1.9119957392864972e-09
176,5.956264104655254e-10
177,1.333348743347541e-09
178,4.1988319603902003e-10
179,9.665593819842003e-10
180,3.060352243438548e-10
181,7.228673207255085e-10
182,2.292908452395379e-10
183,5.546795508736275e-10
184,1.7580193872988442e-10
185,4.348711295616635e-10
186,1.3745710725618267e-10
187,3.472210371465369e-10
188,1.0930049115099869e-10
189,2.816225672434179e-10
190,8.819190768795154e-11
191,2.315540985872439e-10
192,7.207834049793747e-11
193,1.926785903178431e-10
194,5.958049139485321e-11
195,1.6203516629425113e-10
196,4.974929679144399e-11
197,1.375553822292426e-10
198,4.1919578787653824e-11
199,1.177656329200278e-10
