,data
0,0.39065585500914957
1,0.4050880518757388
2,0.4132746270160622
3,0.41904865918623657
4,0.4234245997492926
5,0.42691833691346226
6,0.4298143160864506
7,0.4326098688672022
8,0.4348511728167159
9,0.4366612305597375
10,0.4382766986146194
11,0.43973373905802726
12,0.44112045551604684
13,0.4422746318322444
14,0.4433948092603765
15,0.4444113695078762
16,0.4454000829219525
17,0.4463045837378038
18,0.44715383891144894
19,0.44795394128294175
20,0.5800749026668044
21,0.5943535493609899
22,0.6019129275080384
23,0.6067636969494783
24,0.6106104665618948
25,0.6137030446821972
26,0.6160949887587579
27,0.6181670065749083
28,0.6199472750077364
29,0.6215025007297429
30,0.6228783646315155
31,0.624109662653886
32,0.6252222523708982
33,0.6262355754055646
34,0.6271637840360794
35,0.6280190348211423
36,0.628865405003031
37,0.6297087102516294
38,0.6304973863747197
39,0.6312376997206148
40,0.7243514206549475
41,0.7331288814003303
42,0.737358631582373
43,0.7402302122236836
44,0.7422467644250852
45,0.7437447966621782
46,0.7449128224165703
47,0.745566742569333
48,0.7460805145651445
49,0.7465028417147774
50,0.7468541390251762
51,0.7472765090351086
52,0.7476960314481125
53,0.7480669522551917
54,0.7483963673467375
55,0.7486909739894174
56,0.7489562508171709
57,0.7491965669512735
58,0.7494154600866179
59,0.7496158255950043
60,0.8053651136329321
61,0.8045645004846831
62,0.8034153242251085
63,0.8021735622560964
64,0.800904260454592
65,0.7996046692951717
66,0.7984319963660831
67,0.7973438413349023
68,0.7963083230458128
69,0.7953342287179281
70,0.7943486383353202
71,0.7934329268390048
72,0.7925783795073316
73,0.7917775104896285
74,0.791023041018482
75,0.7903099196709085
76,0.7896340186153646
77,0.7889917773109489
78,0.7884263336666926
79,0.7879120960000034
80,0.8085341425393864
81,0.7976662264032506
82,0.7899929072178355
83,0.784907623385201
84,0.7803758198375124
85,0.7766566394783386
86,0.7737072667906483
87,0.770742145006083
88,0.7681215207287179
89,0.7657748887400383
90,0.7636508595178242
91,0.7617509377436463
92,0.7600808421750966
93,0.7585337289863094
94,0.7570925758482194
95,0.7557440638783369
96,0.7544772894641509
97,0.7532831573437844
98,0.7521540022911615
99,0.7510832953182074
100,0.7614202258292554
101,0.7429702262495061
102,0.7316556782127279
103,0.7232518821052976
104,0.7168513005176809
105,0.711173271249355
106,0.7062454389419281
107,0.7020053350589393
108,0.6982896229626434
109,0.6949866607107382
110,0.6922741837939217
111,0.6898501851429057
112,0.6877159324684619
113,0.685811790770624
114,0.6840418846172995
115,0.6823890111608915
116,0.6808390935380005
117,0.6793804245395267
118,0.6778747974788781
119,0.676358993730342
120,0.690548316684736
121,0.6652203920172101
122,0.6491604310952228
123,0.6384925010471574
124,0.6304111202741233
125,0.6237002737481726
126,0.6179307920684932
127,0.6130814553038095
128,0.6091582135821593
129,0.6056765125953072
130,0.6025508234425313
131,0.5997174825795863
132,0.5970836683131753
133,0.5946032278966118
134,0.5923089848122234
135,0.5901760287529181
136,0.5881839952584881
137,0.5862805877359972
138,0.5844854586103533
139,0.5827912164416307
140,0.5516909796911013
141,0.5217070102925466
142,0.5042654138918373
143,0.4925920972950535
144,0.4836881090381053
145,0.47652791216286083
146,0.47060781793124495
147,0.46561316942751607
148,0.4612228402773133
149,0.457352454557069
150,0.45389898052443567
151,0.45077355824426635
152,0.44790490639826874
153,0.44531089226663667
154,0.44291984775370413
155,0.44070388745586286
156,0.43864022534773905
157,0.43671016527736806
158,0.4348981796509085
159,0.433191245330082
160,0.36112986591978175
161,0.3323395512389538
162,0.31637799298404573
163,0.30561176224148984
164,0.2976176879002204
165,0.2913205500428532
166,0.28617577838707037
167,0.28176396386571145
168,0.27803483988856575
169,0.2747612287987204
170,0.27184390916752665
171,0.2692261073204846
172,0.26685484634473294
173,0.2646901484846789
174,0.26271201958546253
175,0.26090849599024174
176,0.25923409690145893
177,0.25767248950029414
178,0.2562259347468999
179,0.25486828347809576
180,0.20136083116100115
181,0.17915641274599536
182,0.167705010647522
183,0.16024315771437792
184,0.15477479783316542
185,0.15050289460248523
186,0.14703242806079164
187,0.14413213031396746
188,0.14165007958762088
189,0.13942948544637124
190,0.13745720390626287
191,0.13569682713021028
192,0.13410962355503359
193,0.13272991965830028
194,0.13148545340751477
195,0.13033959890403143
196,0.12927877547804179
197,0.12829194040989955
198,0.12737000330277876
199,0.12650539990530965
200,0.0918217195909477
201,0.07818604866077827
202,0.07114851493455379
203,0.06691848271205017
204,0.06390731420712092
205,0.06160824978460745
206,0.059719263240808285
207,0.05821747123893653
208,0.05695538314467155
209,0.05584035771569021
210,0.05486328867461908
211,0.05399590274001573
212,0.05321750348732951
213,0.052512779947316686
214,0.05187088166877155
215,0.05128241430406939
216,0.050739755725901975
217,0.05023674483525982
218,0.04975623169166039
219,0.04930686441617271
