,data
0,1.6988434169292836
1,0.9422067070275687
2,1.5882320435525978
3,1.0555883713617569
4,0.7795091554002056
5,0.5187501883323535
6,0.4616738858678026
7,0.3074458332812796
8,0.3051968439594004
9,0.20333470524349803
10,0.2167773866663515
11,0.1444750024718942
12,0.16196426231356964
13,0.10797275727395551
14,0.12564229506649585
15,0.08377729281293426
16,0.10033129870965513
17,0.06691253808232338
18,0.08198587138758208
19,0.05468644821984672
20,0.0682625894570552
21,0.045539124842555206
22,0.05772743388889413
23,0.03851578441376574
24,0.049462837446471605
25,0.03300537240967546
26,0.0428593772910944
27,0.028601977269303865
28,0.03749933123087885
29,0.025027329133625605
30,0.03308858484106131
31,0.022085473542482113
32,0.02941518058960062
33,0.019635175534848424
34,0.026323227763341017
35,0.01757254760625485
36,0.023695993625133843
37,0.015819789431948186
38,0.02144465265082246
39,0.014317694448761086
40,1.2197404913952883
41,0.8615519171730162
42,0.5559680040123806
43,0.4516900641615395
44,0.26363389668809495
45,0.21438215304991468
46,0.15320955175978268
47,0.12464774121666226
48,0.0999769286359318
49,0.08136551424795835
50,0.0703206624017446
51,0.057243907256869925
52,0.05212899460611563
53,0.042443386068603116
54,0.04017455074283483
55,0.03271539808124997
56,0.031901801779726076
57,0.025982253706177523
58,0.025941426116109955
59,0.021130411249615223
60,0.0215060197040019
61,0.01751944085839407
62,0.018116771521171648
63,0.014759847705206153
64,0.015468941652939026
65,0.012603708644363722
66,0.013361159634659722
67,0.010887174819262303
68,0.011656036171502586
69,0.009498442723865321
70,0.010257234571945197
71,0.008359107756138196
72,0.00909558707954031
73,0.007412871552249416
74,0.008120394953529184
75,0.0066184647859397145
76,0.007293812993971328
77,0.0059450785961548715
78,0.006587128983843424
79,0.00536933724058652
80,0.7622074276266247
81,0.6207932267824816
82,0.16163305253519555
83,0.1511712987567075
84,0.07386092781892592
85,0.06909340614525743
86,0.04205263895597602
87,0.039341406629672254
88,0.027057574964404914
89,0.025314295057665175
90,0.018829465953557313
91,0.017616823278926035
92,0.01383928331859759
93,0.012948317328535295
94,0.010589638516095859
95,0.009908109028453954
96,0.008357738905840949
97,0.007820018619319401
98,0.006760036965125113
99,0.006325225741276322
100,0.005577775675339316
101,0.005219084070288136
102,0.004678855900770927
103,0.0043780177594866425
104,0.003979714237384194
105,0.0037238584784775853
106,0.0034254129054186637
107,0.0032052128987109713
108,0.002978649348423284
109,0.002787183171232368
110,0.002613381572895316
111,0.0024454051402282516
112,0.002310986222450607
113,0.002162454769231439
114,0.0020578623521996
115,0.0019256066742101101
116,0.0018438912456751643
117,0.0017253933370877626
118,0.0016614209927579688
119,0.0015546550627161388
120,0.1818623411398937
121,0.1526338604535455
122,0.008158202127942752
123,0.007062215232416013
124,0.0035405358496083863
125,0.003053717427931677
126,0.001958922384573173
127,0.0016861581193803557
128,0.001235885000513662
129,0.0010623177069660516
130,0.0008473353127608581
131,0.0007275712968489493
132,0.00061538865482802
133,0.0005279598327297194
134,0.00046625443337885004
135,0.0003997253655138693
136,0.00036490380433661134
137,0.00031264171610319313
138,0.0002929916383094024
139,0.0002508923462761802
140,0.00024018136459456272
141,0.0002055714156760724
142,0.00020029483310147212
143,0.00017135913961825294
144,0.00016946071072157458
145,0.000144923727780902
146,0.00014514938142025743
147,0.00012408916287038907
148,0.00012565360789835393
149,0.00010738765009254327
150,0.00010978836429806124
151,9.380086248720347e-05
152,9.671065346285972e-05
153,8.260470336918124e-05
154,8.580780393430782e-05
155,7.327312170122974e-05
156,7.662605616337973e-05
157,6.54166497018317e-05
158,6.882376004564281e-05
159,5.874216087342505e-05
160,0.012586129612339578
161,0.006398849468253061
162,-1.139938337599433e-07
163,-1.3394933513259666e-07
164,-2.6803853365237377e-08
165,-3.158162745618265e-08
166,-1.0316626704813826e-08
167,-1.2173231277911523e-08
168,-5.023368548486203e-09
169,-5.932953266767399e-09
170,-2.8149854847070975e-09
171,-3.3269636655960688e-09
172,-1.7329656646641695e-09
173,-2.049202003140855e-09
174,-1.1413841185444169e-09
175,-1.3501949332616438e-09
176,-7.910614572040703e-10
177,-9.360667301486423e-10
178,-5.705139368626018e-10
179,-6.752610284124363e-10
180,-4.2480307143161286e-10
181,-5.029070719557748e-10
182,-3.247056756115209e-10
183,-3.8448150383093477e-10
184,-2.537029316386859e-10
185,-3.0046049119206795e-10
186,-2.0195383240844064e-10
187,-2.392115305030637e-10
188,-1.633540312538087e-10
189,-1.9351778644031878e-10
190,-1.3398132717489706e-10
191,-1.587413665438835e-10
192,-1.1123729690355536e-10
193,-1.3180916199847052e-10
194,-9.33541024883559e-11
195,-1.1063003637250968e-10
196,-7.91005882023237e-11
197,-9.374745776045809e-11
198,-6.760189587892906e-11
199,-8.012625230790017e-11
