,data
0,3.9531374873898413
1,4.497296787181979
2,4.829838991525774
3,5.068838096105969
4,5.254993644210678
5,5.407234189035541
6,5.535848252755871
7,5.647110522012239
8,5.745060111723104
9,5.832495831682876
10,5.9114327661986685
11,5.983342388945615
12,6.049345996312079
13,6.110320941752976
14,6.166975547875294
15,6.219869697226542
16,6.269460129304756
17,6.316125574207129
18,6.360183592360691
19,6.401902988531358
20,3.1167092858759515
21,3.4687735143446323
22,3.679248320710199
23,3.8285116772422834
24,3.943669173965031
25,4.037149099589033
26,4.115650041802053
27,4.18321346882909
28,4.242435966355773
29,4.29510058002133
30,4.342482256986843
31,4.385513709323477
32,4.4249026948462635
33,4.461199867210697
34,4.494845016480255
35,4.526187856866492
36,4.555513457251104
37,4.5830575199374275
38,4.609017080303372
39,4.633558517161671
40,2.4701435562069403
41,2.682767462106371
42,2.8067784788224284
43,2.8933891363816118
44,2.9594767978228833
45,3.012658629850402
46,3.0570068087259124
47,3.094944173903426
48,3.128028570068917
49,3.1573167658164465
50,3.183557360554908
51,3.2073012324351025
52,3.2289642465645407
53,3.2488675472955126
54,3.2672630773155804
55,3.2843538746134264
56,3.300305269391333
57,3.31525350878769
58,3.329312149753547
59,3.3425767921520366
60,1.9887126795009566
61,2.1047607970773416
62,2.1703717548957004
63,2.2152976840914986
64,2.2490854208156454
65,2.2759606796805887
66,2.298162816734302
67,2.316998358979542
68,2.3333110702335893
69,2.347663113731923
70,2.360447336996739
71,2.3719561668578932
72,2.382409017690854
73,2.391973444386248
74,2.4007770552424783
75,2.4089251502899094
76,2.4165034967295638
77,2.4235824934506645
78,2.430220470082389
79,2.4364663632267414
80,1.653500445949827
81,1.7051930130947284
82,1.7328985918498252
83,1.751202521425702
84,1.7646003040504827
85,1.7750207753657303
86,1.783472123084507
87,1.7905228801141393
88,1.7965435424755527
89,1.8017732458278264
90,1.8063748366141197
91,1.8104725201654606
92,1.8141582618612964
93,1.817500831478358
94,1.820549654813464
95,1.8233475635755827
96,1.8259294676202298
97,1.8283237527804002
98,1.8305537750235112
99,1.8326389476783609
100,1.3995431960002265
101,1.409716922551751
102,1.413476862311375
103,1.4152019604425492
104,1.4160382169406511
105,1.416410511205824
106,1.4165252417062426
107,1.4164772749689396
108,1.4163318697015614
109,1.416122773910657
110,1.4158682032217047
111,1.4155852728144105
112,1.4152853677722004
113,1.4149753951020871
114,1.4146570048045166
115,1.4143339923927987
116,1.4140094792975888
117,1.4136857105521894
118,1.4133643212869427
119,1.41304647083351
120,1.1442213539513353
121,1.1262562700149825
122,1.1144872538624324
123,1.1057542339651456
124,1.0988232042189092
125,1.093081671742723
126,1.088187727038736
127,1.083923543575525
128,1.080149679019947
129,1.0767663447559557
130,1.0737001473332595
131,1.0708983167245765
132,1.0683202003243801
133,1.0659335316972411
134,1.0637113670363663
135,1.0616329453076723
136,1.0596813157598803
137,1.0578423546973548
138,1.0561041545928096
139,1.0544565908385666
140,0.8433379590307912
141,0.8111906215584296
142,0.7921184780233859
143,0.7787020586188221
144,0.7684236434154101
145,0.7601318332535316
146,0.7532049668694809
147,0.7472723391753158
148,0.7420933970276073
149,0.737505140318059
150,0.7333921274913258
151,0.7296686454950245
152,0.7262699160180766
153,0.7231459835027252
154,0.7202579972197949
155,0.7175742740503038
156,0.7150689249043918
157,0.712720639043315
158,0.7105116331747678
159,0.7084269382488758
160,0.5305125699673676
161,0.4976457387367723
162,0.4789590112093204
163,0.46614021783391635
164,0.45649023932777666
165,0.44881055951444715
166,0.4424627474968273
167,0.437076005170293
168,0.43240874024809284
169,0.4283008503503435
170,0.42464090313606695
171,0.4213450305369689
172,0.4183504080177257
173,0.4156092101551727
174,0.41308547156899056
175,0.41074907699679003
176,0.4085754449453781
177,0.4065444134646865
178,0.40463926951711693
179,0.4028460072553367
180,0.2684282078549997
181,0.24377278300788657
182,0.23038964901745257
183,0.22145144892815474
184,0.21484530773162538
185,0.20966139757894786
186,0.20542309065551345
187,0.20186007665808472
188,0.19879644525771967
189,0.19611784640512733
190,0.19374593750922214
191,0.19162127188089495
192,0.18969970413922294
193,0.1879479986697696
194,0.18634184856398006
195,0.18486050517931837
196,0.18348704004821936
197,0.18220765159812963
198,0.18101095009528706
199,0.17988743648781264
200,0.09747628809694772
201,0.08418093529244172
202,0.07748297908034871
203,0.07318896471873944
204,0.07010026356030473
205,0.0677247899754008
206,0.06581228013863288
207,0.06422503490447383
208,0.06287437731948378
209,0.06170395154716152
210,0.060675864017466406
211,0.059761318991616685
212,0.05893915838131487
213,0.058193674486092785
214,0.05751368977194601
215,0.056889516506634194
216,0.05631327885839415
217,0.05577859909904969
218,0.05528024455582562
219,0.054813880086457954
